SGB ID,ZOE MB Health-rank,ZOE MB Diet-rank
SGB15249,0.013,0.218
SGB6340,0.014,0.094
SGB4964,0.036,0.095
SGB14252,0.047,0.233
SGB15229,0.052,0.281
SGB6174_group,0.057,0.247
SGB15317,0.059,0.188
SGB14179,0.071,0.29
SGB15225,0.072,0.169
SGB4894,0.072,0.197
SGB4643,0.072,0.142
SGB4963,0.073,0.145
SGB79840,0.073,0.18
SGB4893,0.075,0.126
SGB6276,0.079,0.28
SGB3952,0.089,0.375
SGB4638,0.089,0.28
SGB15236,0.093,0.246
SGB4191,0.094,0.227
SGB15053_group,0.099,0.18
SGB15368,0.101,0.235
SGB4782,0.103,0.127
SGB14042,0.103,0.196
SGB4706,0.109,0.084
SGB4644,0.116,0.262
SGB49188,0.116,0.445
SGB4781,0.119,0.2
SGB4777,0.119,0.056
SGB14921,0.121,0.285
SGB15234,0.124,0.404
SGB8601,0.128,0.201
SGB5087,0.129,0.184
SGB14311,0.131,0.493
SGB4953,0.132,0.229
SGB7258,0.132,0.116
SGB4882,0.132,0.152
SGB6367,0.133,0.163
SGB15106,0.134,0.243
SGB4778,0.14,0.106
SGB15131,0.142,0.461
SGB4198_group,0.144,0.585
SGB15031,0.15,0.428
SGB13981,0.154,0.22
SGB15123,0.162,0.282
SGB54300,0.164,0.397
SGB4665,0.166,0.138
SGB13979,0.166,0.216
SGB15410,0.169,0.215
SGB2290,0.169,0.314
SGB14954,0.17,0.274
SGB14306,0.173,0.263
SGB4805,0.173,0.604
SGB14899,0.174,0.759
SGB4803,0.174,0.491
SGB13982,0.177,0.364
SGB15265_group,0.177,0.289
SGB14114,0.18,0.452
SGB47656,0.18,0.189
SGB6749,0.182,0.192
SGB14253,0.183,0.32
SGB15346,0.184,0.244
SGB4810,0.189,0.129
SGB4770,0.19,0.32
SGB14043,0.191,0.401
SGB4886,0.192,0.464
SGB25497,0.192,0.224
SGB4815_group,0.194,0.372
SGB25416,0.194,0.657
SGB4957,0.195,0.204
SGB4654,0.196,0.144
SGB15373,0.199,0.257
SGB15254,0.205,0.118
SGB6571,0.205,0.293
SGB15323,0.207,0.355
SGB71759,0.207,0.164
SGB4648,0.207,0.388
SGB15180,0.209,0.165
SGB15413,0.209,0.343
SGB49168,0.212,0.372
SGB14960,0.215,0.346
SGB4133,0.215,0.451
SGB15051,0.218,0.229
SGB4993,0.218,0.513
SGB15395,0.22,0.566
SGB15145,0.223,0.257
SGB5111,0.223,0.147
SGB6317,0.224,0.467
SGB4966,0.224,0.224
SGB4780,0.226,0.2
SGB14198,0.227,0.238
SGB63101,0.228,0.501
SGB4779,0.23,0.471
SGB15233,0.233,0.325
SGB4769,0.234,0.25
SGB2295,0.238,0.383
SGB72336,0.24,0.609
SGB4658,0.241,0.17
SGB14770,0.245,0.446
SGB6148,0.247,0.603
SGB25493,0.247,0.301
SGB4831_group,0.248,0.424
SGB14965,0.249,0.584
SGB15224,0.25,0.332
SGB4938,0.251,0.41
SGB15402,0.252,0.633
SGB15291,0.253,0.087
SGB9333,0.254,0.209
SGB4664,0.254,0.066
SGB4906,0.254,0.216
SGB4711,0.254,0.202
SGB15065,0.256,0.177
SGB714_group,0.256,0.466
SGB4772,0.257,0.285
SGB3958,0.257,0.202
SGB4629,0.258,0.212
SGB14048,0.261,0.365
SGB15052,0.263,0.369
SGB14861,0.265,0.722
SGB9205,0.265,0.446
SGB4280,0.265,0.424
SGB4829,0.265,0.244
SGB4816,0.266,0.062
SGB2317,0.266,0.612
SGB15411,0.266,0.239
SGB5117,0.267,0.315
SGB14250,0.268,0.23
SGB14924,0.269,0.338
SGB4767,0.27,0.171
SGB6376,0.271,0.226
SGB4714,0.271,0.128
SGB4691,0.274,0.292
SGB14341,0.275,0.433
SGB15244,0.275,0.156
SGB5082_group,0.276,0.115
SGB4910,0.277,0.431
SGB4914,0.277,0.232
SGB8599,0.279,0.275
SGB4936,0.282,0.138
SGB15374,0.284,0.29
SGB72916,0.284,0.298
SGB4909,0.286,0.18
SGB15390,0.287,0.457
SGB15164,0.287,0.642
SGB15093,0.289,0.359
SGB13983,0.291,0.452
SGB5042,0.292,0.425
SGB4771,0.293,0.194
SGB15356,0.295,0.114
SGB72479,0.296,0.247
SGB4557,0.296,0.218
SGB3988,0.297,0.525
SGB15041,0.298,0.265
SGB14128,0.298,0.427
SGB15385,0.299,0.296
SGB6750,0.3,0.287
SGB4184,0.302,0.331
SGB3573,0.303,0.562
SGB66170,0.304,0.68
SGB15201,0.305,0.653
SGB15203,0.306,0.239
SGB79798,0.307,0.574
SGB15382,0.309,0.533
SGB4652,0.31,0.3
SGB9346,0.311,0.343
SGB14969,0.311,0.191
SGB4262,0.313,0.44
SGB4394,0.313,0.248
SGB61601,0.314,0.529
SGB15216,0.317,0.468
SGB14027,0.318,0.486
SGB4674,0.319,0.708
SGB14937,0.32,0.504
SGB15090,0.321,0.262
SGB9391,0.323,0.219
SGB15383,0.324,0.231
SGB29347,0.324,0.693
SGB14991,0.324,0.311
SGB14940,0.324,0.36
SGB4809,0.326,0.44
SGB6141,0.327,0.384
SGB4687,0.332,0.37
SGB63163,0.333,0.607
SGB14177,0.334,0.407
SGB4832,0.334,0.244
SGB15160,0.335,0.234
SGB48024,0.335,0.237
SGB6179,0.336,0.46
SGB4768,0.342,0.308
SGB5090_group,0.343,0.177
SGB29302,0.345,0.701
SGB9712_group,0.345,0.353
SGB3813,0.346,0.423
SGB79833,0.346,0.273
SGB4659,0.35,0.256
SGB4328,0.35,0.283
SGB4776,0.35,0.722
SGB1790,0.351,0.783
SGB14313,0.351,0.315
SGB5043,0.351,0.364
SGB15127,0.352,0.626
SGB15049,0.352,0.229
SGB42321,0.353,0.453
SGB15403,0.353,0.592
SGB15115,0.363,0.191
SGB4905,0.363,0.186
SGB14838,0.363,0.878
SGB15012,0.365,0.189
SGB9202,0.368,0.35
SGB80143,0.369,0.144
SGB3992,0.37,0.757
SGB7259,0.372,0.625
SGB4546,0.373,0.341
SGB14974,0.373,0.188
SGB13976,0.374,0.613
SGB15342,0.376,0.529
SGB2296,0.377,0.484
SGB14941,0.377,0.493
SGB3996,0.379,0.508
SGB53497,0.38,0.739
SGB15470,0.381,0.727
SGB14020,0.381,0.427
SGB1858,0.382,0.342
SGB14851,0.386,0.919
SGB6305,0.388,0.439
SGB14932,0.388,0.636
SGB15089,0.389,0.577
SGB1862,0.39,0.417
SGB15401,0.392,0.68
SGB4027,0.392,0.246
SGB15140,0.392,0.455
SGB2325,0.393,0.433
SGB14317,0.393,0.347
SGB4628,0.394,0.626
SGB4669,0.395,0.216
SGB15299,0.395,0.442
SGB6478,0.395,0.393
SGB14262,0.397,0.521
SGB63342,0.399,0.536
SGB4960,0.4,0.178
SGB63333,0.4,0.365
SGB15316_group,0.401,0.213
SGB4651,0.404,0.284
SGB1965,0.404,0.452
SGB15081,0.406,0.238
SGB59819,0.408,0.608
SGB2326,0.41,0.391
SGB14912,0.413,0.444
SGB14322_group,0.416,0.244
SGB3940,0.416,0.319
SGB4029,0.417,0.686
SGB2301,0.419,0.684
SGB63167,0.421,0.556
SGB14797_group,0.422,0.353
SGB5200,0.428,0.577
SGB17347,0.431,0.377
SGB4868,0.432,0.667
SGB15067,0.433,0.452
SGB53515,0.434,0.469
SGB15075,0.435,0.359
SGB4421,0.436,0.38
SGB5121,0.437,0.131
SGB9226,0.438,0.372
SGB2318,0.439,0.773
SGB14894,0.441,0.815
SGB4817,0.443,0.257
SGB14966,0.443,0.278
SGB3989,0.444,0.31
SGB15370,0.444,0.201
SGB14975,0.444,0.559
SGB4436,0.446,0.416
SGB14839,0.446,0.561
SGB14993_group,0.451,0.127
SGB15322,0.452,0.403
SGB9387,0.454,0.454
SGB3959,0.454,0.426
SGB6362,0.455,0.459
SGB4063,0.455,0.626
SGB14773_group,0.455,0.273
SGB29334,0.456,0.398
SGB14151,0.457,0.586
SGB15087,0.457,0.419
SGB14022,0.458,0.526
SGB14972,0.459,0.166
SGB15045,0.459,0.4
SGB4712,0.46,0.209
