	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	-0.20946324837056668	0.3059941268873001	0.5013223670362004	7	-0.809211737069675|0.39028524032854156	19	26	0.2996040735608916	0.24160381127593517	0.12333190002644895	0.1335484926043495
FanY_2023_in_DNK-anorexia	-0.0407352208149318	0.17089829129906203	0.8119778355810888	26	-0.37569587176109337|0.29422543013122976	68	71	0.27649782907313414	0.3112928001294448	0.11945929390110514	0.13875876224733324
FengQ_2015_in_AUT-CRC	-0.12354046513640322	0.19538366169549112	0.5322520624382734	38	-0.5064924420595658|0.25941151178675936	61	46	0.40147170399040916	0.37439047074458937	0.2345519955445024	0.21321798437605594
GuptaA_2019_in_IND-CRC	0.6400008478371669	0.26933057147183065	0.018070456308103902	5	0.11211292775237891|1.167888767921955	30	30	0.18259866858670526	0.35006630226639046	0.15480052584013324	0.21644158949755682
HeQ_2017_in_CHN-CD	0.5974830494679608	0.2167050648539975	0.006015382210841998	36	0.17274112235412575|1.022224976581796	44	47	0.3834388508867326	0.5978923906733001	0.16524032955408882	0.2239720541220979
JieZ_2017_in_CHN-ACVD	0.12818609587967825	0.11501618294309798	0.26558579734709004	46	-0.0972456226887938|0.3536178144481503	156	149	0.4130687338292022	0.43838517352049167	0.19052959837028435	0.19085116881415423
KarlssonFH_2013_in_SWE-IGT	0.14902004700822413	0.21113669187182085	0.4824496117894097	28	-0.2648078690605447|0.5628479630769929	43	49	0.2733631195777476	0.2941744092418586	0.10167914793532783	0.11195848238411847
KarlssonFH_2013_in_SWE-T2D	0.25135476040327603	0.20712039724238834	0.22866975663823522	28	-0.1546012181918051|0.6573107389983572	43	53	0.2733631195777476	0.3080021538556605	0.10167914793532783	0.13177220794528416
MetaCardis_2020_a_in_FRA-IGT	0.006842405882802785	0.1109414109885334	0.9510022732608656	43	-0.2106027596547227|0.22428757142032824	176	151	0.2957498060114366	0.31955508692037576	0.1528715723026039	0.15611767698074813
MetaCardis_2020_a_in_FRA-T2D	0.3935580042312105	0.09374260600501723	4.684495986639021e-05	45	0.20982249646137674|0.5772935120010443	176	290	0.2957498060114366	0.3824022620614046	0.1528715723026039	0.1834332068689954
MetaCardis_2020_a_in_FRA-CAD	-0.02678481692677349	0.11785783044827337	0.8244558960237238	39	-0.2577861646053893|0.20421653075184232	176	114	0.2957498060114366	0.2847592024404057	0.1528715723026039	0.15647014262843154
MetaCardis_2020_a_in_FRA-HF	0.051618236057769475	0.14361933819943593	0.8279495217248157	33	-0.22987566681312496|0.3331121389286639	176	20	0.2957498060114366	0.28977914925691184	0.1528715723026039	0.13382802284971407
