	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	0.2892699005765498	0.30675024366501363	0.3543015492180227	6	-0.31196057700687696|0.8905003781599765	19	26	0.11265915360651241	0.12016406533732561	0.06674414705952603	0.06030192506315532
FanY_2023_in_DNK-anorexia	-0.03172350206971785	0.1708913180555648	0.8530262314237497	21	-0.36667048545862485|0.30322348131918914	68	71	0.08515369873415535	0.12149504307496865	0.04785249635507869	0.07369179901822556
FengQ_2015_in_AUT-CRC	-0.06662642203259514	0.1952517019309584	0.7360669263176021	31	-0.4493197578172736|0.3160669137520833	61	46	0.14913046983449219	0.14286752277325468	0.13157630727413655	0.08565798558186825
JieZ_2017_in_CHN-ACVD	0.553825604290426	0.11708014775679267	2.2958302166883655e-06	43	0.32434851468711245|0.7833026938937396	156	149	0.16822437579174362	0.23973468278188284	0.09613168542357838	0.14485720200218974
KarlssonFH_2013_in_SWE-IGT	0.49431607273346573	0.21404000331469483	0.021559573577407454	29	0.07479766623666384|0.9138344792302676	43	49	0.10291791254708682	0.1475266565547485	0.05851489675532463	0.0948681471198981
KarlssonFH_2013_in_SWE-T2D	0.25440069607268495	0.20714018183553579	0.22312390855325517	29	-0.1515940603249652|0.660395452470335	43	53	0.10291791254708682	0.12614271762724716	0.05851489675532463	0.07408857287270974
MetaCardis_2020_a_in_FRA-IGT	0.08213637935379722	0.11098785470385333	0.46093032968454806	36	-0.1353998158657553|0.2996725745733497	176	151	0.11613635426710668	0.1363848613323543	0.06985797517346802	0.07754691542899832
MetaCardis_2020_a_in_FRA-T2D	0.389649099596337	0.09372500807888258	5.5513885637341724e-05	38	0.20594808376172713|0.5733501154309468	176	290	0.11613635426710668	0.1584936838914079	0.06985797517346802	0.09523968330579886
MetaCardis_2020_a_in_FRA-CAD	0.11955259506625615	0.11795777702694894	0.3225346905162709	32	-0.11164464790656378|0.3507498380390761	176	114	0.11613635426710668	0.11992665975017733	0.06985797517346802	0.07679362701020113
MetaCardis_2020_a_in_FRA-HF	-0.15576991834567422	0.14381302757623202	0.5121325477686454	26	-0.43764345239508895|0.1261036157037405	176	20	0.11613635426710668	0.09589099607194516	0.06985797517346802	0.0446732047958817
MetaCardis_2020_a_in_DEU-T2D	0.13600158098609424	0.0910145113118809	0.13831204768821673	41	-0.04238686118519233|0.31439002315738085	273	213	0.13779646585829322	0.134941244530293	0.08916399407517865	0.07331335978023974
MetaCardis_2020_a_in_DEU-IGT	0.04677927965613488	0.10784842909220677	0.7235600203072783	38	-0.16460364136459038|0.25816220067686013	273	73	0.13779646585829322	0.14723963955726188	0.08916399407517865	0.08841860209599696
NagySzakalD_2017_in_USA-ME/CFS	0.5732751267334112	0.2061597559798708	0.0055466223951937165	40	0.16920200501286442|0.977348248453958	50	50	0.1413257758489353	0.19399800993741637	0.07071275386727649	0.09419838326694877
NielsenHB_2014_in_ESP-UC	0.04293409885062325	0.17891740634136596	0.8111929149568433	34	-0.307744017578454|0.39361221527970053	59	68	0.11793164694737618	0.11871592612967596	0.0750383686643278	0.08553479072380234
NielsenHB_2014_in_ESP-CD	1.6571428448595376	0.27710813444399507	1.2267661523664755e-06	22	1.1140109013493071|2.200274788369768	59	13	0.11793164694737618	0.283399877135499	0.0750383686643278	0.14921396188861874
QinJ_2012_in_CHN-T2D	0.33766324166253187	0.109236362969171	0.002011245629541058	39	0.1235599702429567|0.551766513082107	173	169	0.1296931634038546	0.17297013568836303	0.0786341516418072	0.11598936034111082
QinN_2014_in_CHN-cirrhosis	0.24741059500673537	0.13096615379431406	0.05933594903675878	34	-0.009283066430120196|0.5041042564435909	114	123	0.11477399040688342	0.1340291139864191	0.05800355815026863	0.08611925632612957
RubelMA_2020_in_CMR-STH	-0.7983012377856081	0.16585986438898576	1.5516722666786312e-06	4	-1.1233865719880203|-0.47321590358319604	82	77	0.03234234518696734	0.006576313133257992	0.04169003387880182	0.02095334100401852
ThomasAM_2018a_in_ITA-CRC	-0.21546713801981285	0.2896347216352981	0.46253895561841807	14	-0.7831511924249971|0.35221691638537134	22	28	0.18261638212330508	0.16264736661381138	0.1290272639645516	0.08658908192786006
ThomasAM_2018b_in_ITA-CRC	0.005360921748704181	0.2673454899476931	0.9841097653545827	21	-0.5186362385487743|0.5293580820461826	27	31	0.12073809947428035	0.12298006824597639	0.07252464419660927	0.06530782935082359
VogtmannE_2016_in_USA-CRC	0.5541339008912104	0.2048495742019048	0.007011274486201491	43	0.152628735455477|0.9556390663269438	52	49	0.1558285862459189	0.21703449725357726	0.10652992807003538	0.1340942941667088
WirbelJ_2018_in_DEU-CRC	0.4737563603890109	0.1828581095569056	0.009792057697190873	26	0.11535446565747598|0.8321582551205459	65	60	0.10938722015119293	0.1643000460086267	0.07725565445970421	0.13156804035060235
XieH_2016_in_GBR-migraine	0.4715778530787749	0.13547792362338784	0.0040018332838273685	34	0.20604112277693476|0.7371145833806151	177	49	0.11512247528657486	0.1496148554898976	0.0677843588345598	0.0931394593173058
XieH_2016_in_GBR-asthma	0.5864530822301515	0.14516057607567462	0.009148476978695665	32	0.3019383531218292|0.8709678113384738	177	23	0.11512247528657486	0.15389022043016426	0.0677843588345598	0.07298618872970966
XuQ_2021_in_CHN-T2D	0.7024030172074037	0.13139069748475862	0.00032886587061559195	39	0.4448772501372768|0.9599287842775306	217	31	0.15510375527826156	0.2175519979744886	0.09229509478077512	0.13026844638858948
YachidaS_2019_in_JPN-CRC	0.1990759574754937	0.08913114817699516	0.02560717036778567	43	0.02437890704858317|0.3737730079024042	250	258	0.19973757296807415	0.21996421887008485	0.10614829436302135	0.11483540028394562
YuJ_2015_in_CHN-CRC	0.7670806848223198	0.18535914876403184	4.3748908496195e-05	35	0.40377675324481743|1.1303846163998221	54	73	0.1369432292821757	0.20760066881771258	0.0818376753886147	0.11242449851874706
ZellerG_2014_in_FRA-CRC	0.4383595710497626	0.19476423489746317	0.025140323506570493	32	0.05662167065073481|0.8200974714487903	59	51	0.1234721087409112	0.16708513409636833	0.06713718611257362	0.09446340672526539
ZhangX_2015_in_CHN-RA	0.28905743199611766	0.14547264617608283	0.0473650165727078	33	0.003931045490995322|0.57418381850124	93	100	0.11898906320096672	0.14144991290892364	0.09428638716265603	0.08579849391239851
ZhuF_2020_in_CHN-schizophrenia	0.44885504588922603	0.15765391480904625	0.004493990184113693	21	0.13985337286349536|0.7578567189149568	81	86	0.08754542997837084	0.11726422375917142	0.047435922318342524	0.06582661166308099
iMSMS_2022_in_USA-MS	0.22259159622243008	0.08538913355491762	0.009171712593243854	30	0.05522889445479154|0.38995429799006864	277	277	0.129684659714955	0.15807743032750668	0.1063064340699627	0.13286808404211123
HeQ_2017_in_CHN-CD	0.5452906363244056	0.2159303641037148	0.01186878211131259	24	0.12206712268112457|0.9685141499676866	44	47	0.14776627906718576	0.282996270805832	0.09205150667157319	0.1839556379548759
YeZ_2018_in_CHN-BD	0.6188057482472262	0.25800025858857617	0.02701345751439034	11	0.1131252414136169|1.1244862550808357	45	20	0.09552813292151553	0.13866889390197729	0.05426416508068666	0.10471226113433947
