	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	7.069535830780305	5.943586360803973	0.24110963023122067	46	-4.579893436395482|18.718965097956094	19	26	26.263157894736842	37.30769230769231	19.34681288933837	19.158788364550436
FanY_2023_in_DNK-anorexia	2.8856986067179466	5.161515331832857	0.5770335801186877	97	-7.230871443674452|13.002268657110346	68	71	50.044117647058826	46.84507042253521	16.10939972548856	18.69973855908524
FengQ_2015_in_AUT-CRC	6.387156113829526	4.471611501920812	0.1562377621844364	86	-2.3772024299352648|15.151514657594317	61	46	33.31147540983606	40.08695652173913	23.192382146438614	20.62272499912206
GuptaA_2019_in_IND-CRC	-6.329097214706117	2.6294711086455793	0.019469190037267242	25	-11.482860587651452|-1.1753338417607813	30	30	14.8	13.166666666666666	9.082584066956569	7.7506272147628295
HeQ_2017_in_CHN-CD	-18.573083723884636	3.1001169261941772	4.721773751761247e-08	30	-24.649312899225222|-12.49685454854405	44	47	23.34090909090909	2.8085106382978724	15.360727938802814	6.083246256386821
JieZ_2017_in_CHN-ACVD	-2.4808484707628127	1.828862781277541	0.1759607500786932	75	-6.065419522066794|1.103722580541168	156	149	19.878205128205128	17.187919463087248	15.576256976366942	14.269397078601548
KarlssonFH_2013_in_SWE-IGT	-12.691935677307228	3.537650393336266	0.0005477758056036193	91	-19.62573044824631|-5.758140906368147	43	49	55.30232558139535	41.265306122448976	15.453658983781802	18.090222311338135
KarlssonFH_2013_in_SWE-T2D	-11.385174620555793	3.8584304044283773	0.004020973866357314	93	-18.947698213235412|-3.822651027876173	43	53	55.30232558139535	42.35849056603774	15.453658983781802	19.61814171918589
MetaCardis_2020_a_in_FRA-IGT	-2.6580339653882317	2.2973433997018047	0.24812858613874927	99	-7.160827028803769|1.8447590980273056	176	151	43.52272727272727	33.78145695364238	20.802358516156545	19.94658231932621
MetaCardis_2020_a_in_FRA-T2D	-16.00082750044351	2.0975370087547325	1.3735606274286266e-13	99	-20.112000037602787|-11.889654963284233	176	290	43.52272727272727	25.641379310344828	20.802358516156545	20.646841909990098
MetaCardis_2020_a_in_FRA-CAD	-6.44010006426246	2.740622501841165	0.019462275428330837	98	-11.811720167871144|-1.068479960653777	176	114	43.52272727272727	39.71052631578947	20.802358516156545	20.170207178354133
MetaCardis_2020_a_in_FRA-HF	-8.211033977997964	4.473109097000943	0.06796528758652508	98	-16.978327808119815|0.5562598521238851	176	20	43.52272727272727	38.7	20.802358516156545	19.570641277178424
MetaCardis_2020_a_in_DEU-T2D	-8.208331639109453	2.1258115508976076	0.0001282192343083038	98	-12.374922278868763|-4.041740999350142	273	213	29.42124542124542	29.572769953051644	20.708207993508413	18.577350294661308
MetaCardis_2020_a_in_DEU-IGT	0.362161057866789	2.3906768862750636	0.8796796318712327	98	-4.323565639232336|5.047887754965914	273	73	29.42124542124542	27.80821917808219	20.708207993508413	16.86177287535051
NagySzakalD_2017_in_USA-ME/CFS	-12.78676402685781	3.5250248408650946	0.00046083040609046666	80	-19.695812714953394|-5.877715338762225	50	50	42.66	28.96	19.269260494372897	15.337483496323639
NielsenHB_2014_in_ESP-UC	-11.943930650514456	3.836434263976062	0.002305471851358376	90	-19.46334180790754|-4.424519493121375	59	68	41.79661016949152	30.294117647058822	22.72292925511097	19.508715113966986
NielsenHB_2014_in_ESP-CD	-39.20548025811975	6.965488267619399	3.875541752263419e-07	74	-52.857837262653774|-25.553123253585728	59	13	41.79661016949152	3.8461538461538463	22.72292925511097	4.054364293262903
QinJ_2012_in_CHN-T2D	-0.3274828329763153	1.983068256502634	0.8689332246798237	81	-4.214296615721478|3.5593309497688472	173	169	20.023121387283236	18.420118343195266	15.650427520883294	17.1611180856753
