	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	4.467491134567861	5.616509354724912	0.43094953710489725	39	-6.540867200692968|15.475849469828688	19	26	25.789473684210527	33.07692307692308	17.479548793912876	18.165739259392577
FanY_2023_in_DNK-anorexia	2.306839500077424	4.519547156890948	0.6105951199875395	90	-6.5514729274288355|11.165151927583683	68	71	48.911764705882355	42.901408450704224	13.432549683640117	17.20150249708181
FengQ_2015_in_AUT-CRC	2.9741941505655873	4.074986184359138	0.46714494864933687	87	-5.012778770778323|10.961167071909497	61	46	34.31147540983606	37.608695652173914	21.724460025439903	17.830699297254483
JieZ_2017_in_CHN-ACVD	-3.302387187252102	1.9092157681010322	0.08471087036143586	82	-7.044450092730125|0.4396757182259212	156	149	26.128205128205128	22.93959731543624	15.678140076731509	15.431697609563665
KarlssonFH_2013_in_SWE-IGT	-10.300149633402501	2.9959630554393732	0.0008971975029948004	82	-16.17223722206367|-4.4280620447413295	43	49	48.674418604651166	37.44897959183673	13.524690479599014	14.6984119987602
KarlssonFH_2013_in_SWE-T2D	-8.600636573528975	3.4024854913099505	0.013184990315803792	86	-15.269508136496478|-1.931765010561472	43	53	48.674418604651166	39.283018867924525	13.524690479599014	17.276199528013084
MetaCardis_2020_a_in_FRA-IGT	-2.3310516455205423	2.0988938298174453	0.26756506387074735	98	-6.444883551962735|1.7827802609216503	176	151	42.75	34.13245033112583	19.200941028075587	17.68363463010296
MetaCardis_2020_a_in_FRA-T2D	-13.393012169375472	1.960473873598952	2.666295145121175e-11	99	-17.235540961629418|-9.550483377121527	176	290	42.75	27.76551724137931	19.200941028075587	19.272461608642505
MetaCardis_2020_a_in_FRA-CAD	-5.554887733014344	2.505523760944167	0.027408331190099878	98	-10.46571430446491|-0.6440611615637772	176	114	42.75	39.421052631578945	19.200941028075587	17.934038369126462
MetaCardis_2020_a_in_FRA-HF	-8.805719426156491	4.1838601631010475	0.03662645562840793	97	-17.006085345834542|-0.6053535064784388	176	20	42.75	37.25	19.200941028075587	18.002430391477702
MetaCardis_2020_a_in_DEU-T2D	-7.518385438358183	1.9280867445347043	0.00011013878457311742	99	-11.297435457646204|-3.7393354190701626	273	213	31.285714285714285	30.497652582159624	18.60124402922694	16.542625099839952
MetaCardis_2020_a_in_DEU-IGT	-0.0397581943159826	2.187656501269309	0.9855107732845328	97	-4.327564936803829|4.248048548171863	273	73	31.285714285714285	29.438356164383563	18.60124402922694	14.521581767281134
NagySzakalD_2017_in_USA-ME/CFS	-14.153749178402805	2.9445628756866853	5.667629858899408e-06	71	-19.925092414748708|-8.382405942056902	50	50	39.58	24.72	16.462186975004265	12.400064515961196
