	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	0.29217463405606575	0.3067822870114271	0.3495408846311697	20	-0.30911864848633136|0.8934679165984629	19	26	0.1829652060689647	0.2131633029629034	0.07779001895982635	0.07461883895003665
FanY_2023_in_DNK-anorexia	0.4732679070022361	0.1732561981107023	0.006412637278349628	44	0.13368575870525956|0.8128500552992126	68	71	0.2577512776669493	0.2594752771455267	0.06601519853556415	0.10017203981142547
FengQ_2015_in_AUT-CRC	-0.0934761249027186	0.19530412390329666	0.6363756250728245	44	-0.4762722077531801|0.28931995794774285	61	46	0.17883590422560972	0.1695925152266117	0.08734712741805799	0.08074095256948895
JieZ_2017_in_CHN-ACVD	-0.25486711429177256	0.1153637693419292	0.02732856814139944	44	-0.48098010220195375|-0.028754126381591333	156	149	0.2054815159141934	0.17747819472914303	0.10353464039559063	0.09803449733821759
KarlssonFH_2013_in_SWE-IGT	-0.3370250433139859	0.21233578888475205	0.11424238719796787	41	-0.7532031895281|0.07915310290012811	43	49	0.24732777494718902	0.2176384878616664	0.0718557377376421	0.0787201441281159
KarlssonFH_2013_in_SWE-T2D	-0.25975394458887774	0.20717552612003357	0.21361526522018306	44	-0.6658179757841436|0.14631008660638806	43	53	0.24732777494718902	0.22323550042074633	0.0718557377376421	0.08042266402514336
MetaCardis_2020_a_in_FRA-IGT	-0.052155616158795444	0.11095994618383041	0.639566656201134	49	-0.26963711067910306|0.16532587836151216	176	151	0.2241336417433991	0.19246272633785375	0.09655332247439766	0.09060114255041192
MetaCardis_2020_a_in_FRA-T2D	-0.405980484615034	0.09379967556827394	2.705474561201e-05	50	-0.5898278487288509|-0.22213312050121709	176	290	0.2241336417433991	0.1749569057435727	0.09655332247439766	0.10173570923332147
MetaCardis_2020_a_in_FRA-CAD	0.034377982807117735	0.11786125105745356	0.7758799944732465	49	-0.19663006926549123|0.2653860348797267	176	114	0.2241336417433991	0.22001553809574642	0.09655332247439766	0.08143392466086381
MetaCardis_2020_a_in_FRA-HF	-0.23437436050524682	0.14408757728710517	0.32432560398252896	49	-0.5167860119879729|0.0480372909774793	176	20	0.2241336417433991	0.21230472397440298	0.09655332247439766	0.0853782642634694
MetaCardis_2020_a_in_DEU-T2D	-0.277941637295645	0.09134735479663404	0.0025441893899164915	50	-0.45698245269704774|-0.09890082189424232	273	213	0.18414387713624325	0.18190729811323414	0.09484518893357914	0.0867541848770203
MetaCardis_2020_a_in_DEU-IGT	0.1855093107932213	0.10806536769989829	0.1612823342875388	48	-0.02629880989857933|0.39731743148502197	273	73	0.18414387713624325	0.19706171892510416	0.09484518893357914	0.09004936717559266
NagySzakalD_2017_in_USA-ME/CFS	-0.32754352325099184	0.2034016380235343	0.10824242995111684	38	-0.7262107337771191|0.0711236872751354	50	50	0.1914374001082647	0.15848617516516422	0.07800839201622597	0.09717606674017584
NielsenHB_2014_in_ESP-UC	0.14939531716018942	0.17914617268962335	0.4064469446944413	47	-0.20173118131147236|0.5005218156318512	59	68	0.21486007427034615	0.23412487326546172	0.09364889105813243	0.10562312791811486
NielsenHB_2014_in_ESP-CD	-0.9189480127288853	0.2513964715053987	0.004282536518661831	36	-1.4116850968794665|-0.4262109285783039	59	13	0.21486007427034615	0.09471583179029525	0.09364889105813243	0.10648820047217247
QinJ_2012_in_CHN-T2D	-0.11865077786775442	0.10856155921559484	0.2748101999228789	48	-0.3314314339303203|0.09412987819481146	173	169	0.19731757961949276	0.17857151852307576	0.1088150176721879	0.1059349295564368
QinN_2014_in_CHN-cirrhosis	-0.5841955467147778	0.13322182150874975	1.2000127161618727e-05	47	-0.8453103168719274|-0.3230807765576283	114	123	0.24115163415358595	0.16879390138149977	0.10937088611689096	0.10961739414244892
RubelMA_2020_in_CMR-STH	-0.26746860942651035	0.16033593597554174	0.09599172903796974	43	-0.5817270439385722|0.04678982508555146	82	77	0.20076902438101718	0.18098112412923786	0.07431716219178452	0.06084798894088767
ThomasAM_2018a_in_ITA-CRC	-0.28601320918943607	0.29027073724579117	0.330561884180978	16	-0.8549438541911868|0.28291743581231465	22	28	0.16336480855591454	0.13084432835641066	0.08954021426858672	0.09214454106161743
ThomasAM_2018b_in_ITA-CRC	0.11826822567745936	0.2675786235706357	0.6606718869875697	30	-0.40618587652098664|0.6427223278759053	27	31	0.21529663739874735	0.218426342176069	0.08888633719539828	0.08934165990593104
VogtmannE_2016_in_USA-CRC	-0.4364082224591094	0.20340668209779725	0.03246317158803205	40	-0.8350853193707919|-0.0377311255474268	52	49	0.2054304624420918	0.16776328012169944	0.08136630645276513	0.09852457989336556
WirbelJ_2018_in_DEU-CRC	-0.3598782417058282	0.18179970344416713	0.04841681164797348	48	-0.7162056604563958|-0.0035508229552606574	65	60	0.21854761437622047	0.19247249501027797	0.0677013162078697	0.07370010176247893
XieH_2016_in_GBR-migraine	-0.07070967231263617	0.13367502512330678	0.6631930637838152	50	-0.3327127215543174|0.1912933769290451	177	49	0.19691182398141047	0.19157149733698398	0.07584084391957134	0.07313300480565955
XieH_2016_in_GBR-asthma	-0.6239245269648839	0.14555456184115492	0.005607979127000926	50	-0.9092114681735475|-0.3386375857562202	177	23	0.19691182398141047	0.14997759444178654	0.07584084391957134	0.07721584173173093
XuQ_2021_in_CHN-T2D	-0.8366809634612843	0.13297962286885934	2.0916822909370885e-05	47	-1.0973210242842486|-0.57604090263832	217	31	0.20036458162928422	0.12617455856070214	0.09852498144818567	0.07362224792645436
