	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	-0.3553203745257105	5.710924248727132	0.9505112507608864	-11.54873190203089|10.838091152979468	61	46	-9.674479055124083	-9.540526474675733	28.071569573417964	28.54816314592921
GuptaA_2019_in_IND-CRC	-12.718417441446423	3.303634463082432	0.0003103567430798353	-19.19354098908799|-6.243293893804856	30	30	6.535335395115412	-1.5287383828616004	9.990529690205706	10.770240672436637
HeQ_2017_in_CHN-CD	-1.837800757266836	4.638517683854748	0.6929356264096185	-10.929295417622141|7.25369390308847	44	47	-25.145357535441587	-27.071901219268394	21.964193273726632	10.829401558746941
JieZ_2017_in_CHN-ACVD	-8.65177097185082	2.4369035480547727	0.0004465427975969292	-13.428101926038174|-3.8754400176634647	156	149	-26.311877301808998	-36.10637871439879	20.456833195103933	19.41759239155562
KarlssonFH_2013_in_SWE-IGT	-19.596035060949767	5.288863122842142	0.0003684607709496706	-29.962206781720365|-9.229863340179168	43	49	21.784084976882948	0.2781489506681007	21.416796427713255	28.094539040529565
KarlssonFH_2013_in_SWE-T2D	-15.825653650287503	5.544191576456708	0.005326588887437786	-26.69226914014265|-4.959038160432355	43	53	21.784084976882948	3.2725474272122823	21.416796427713255	28.881671665611375
MetaCardis_2020_a_in_FRA-IGT	-3.381173939767721	3.073723261176304	0.272142716902842	-9.405671531673278|2.643323652137835	176	151	12.505988588858576	-0.47348238847506546	27.86258282339815	26.411239013703053
MetaCardis_2020_a_in_FRA-T2D	-17.924442507698885	2.735438970938851	1.514629135055679e-10	-23.28590289073903|-12.562982124658738	176	290	12.505988588858576	-8.26898649525909	27.86258282339815	26.47096528968885
MetaCardis_2020_a_in_FRA-CAD	-7.617759573772978	3.7107545927130308	0.040996359526421916	-14.890838575490518|-0.344680572055438	176	114	12.505988588858576	7.759892149265643	27.86258282339815	27.01817393213825
MetaCardis_2020_a_in_FRA-HF	-8.466001749813802	6.094451325612921	0.1664098389514477	-20.411126348015127|3.4791228483875223	176	20	12.505988588858576	8.331070444559979	27.86258282339815	27.10907859809086
MetaCardis_2020_a_in_DEU-T2D	-10.492289639979823	2.8639920672212944	0.00027641461684894334	-16.10571409173356|-4.8788651882260865	273	213	-3.7076675471662885	-4.118105872204983	27.87702719149247	24.137298680150266
MetaCardis_2020_a_in_DEU-IGT	-1.0626727048347544	3.304305370088722	0.7479509281099601	-7.53911123020865|5.413765820539141	273	73	-3.7076675471662885	-7.207219730915124	27.87702719149247	22.152012332052866
NielsenHB_2014_in_ESP-UC	-11.193375143078647	4.910394928534982	0.024373078745503582	-20.81774920300721|-1.5690010831500825	59	68	1.6832694456899835	-8.948150908963923	29.366891543143527	25.031568318703293
NielsenHB_2014_in_ESP-CD	-37.91922257947862	9.160266071930248	9.944496732504566e-05	-55.873344080461905|-19.965101078495334	59	13	1.6832694456899835	-37.00081888949849	29.366891543143527	11.172332103641693
QinJ_2012_in_CHN-T2D	-1.9163684247311985	2.4000695782629156	0.425163776560722	-6.620504798126513|2.7877679486641163	173	169	-17.90063220997155	-22.42502097644513	19.676712878196444	20.336006002948654
QinN_2014_in_CHN-cirrhosis	-16.020320327787378	2.4550727074444834	4.214436921034617e-10	-20.832262834378565|-11.20837782119619	114	123	-8.711511278900248	-25.122087178222678	22.101713220782017	11.331227470002071
ThomasAM_2018a_in_ITA-CRC	1.1638369506217745	6.5587334758668145	0.8599525099480871	-11.691280662077181|14.018954563320731	22	28	-3.3217194602678948	-6.8981336219575535	24.97139142022617	18.553156776109727
ThomasAM_2018b_in_ITA-CRC	11.150217410563362	8.085122042377415	0.1736552355520019	-4.696621792496371|26.997056613623094	27	31	-10.054195766156633	0.5329423810254645	26.335543557782458	31.043244182511344
VogtmannE_2016_in_USA-CRC	-19.811347197179778	6.1680243749219885	0.0017946454282063834	-31.900674972026877|-7.72201942233268	52	49	-0.49939505168073783	-19.299955121214243	32.90438721307016	30.212660134873556
WirbelJ_2018_in_DEU-CRC	-15.985118563189753	4.98595191970091	0.0017249965053928026	-25.757584325803535|-6.2126528005759685	65	60	10.528456574875412	-2.522232635300959	27.86173333489593	25.33090520444216
XuQ_2021_in_CHN-T2D	-17.534410082225577	3.962308745784898	1.454939408340444e-05	-25.300535223963976|-9.768284940487177	217	31	-11.00976449606932	-27.740889270603443	20.39507881331415	20.077512955729603
YachidaS_2019_in_JPN-CRC	-3.165211112846638	1.7304328248209435	0.06796987319187069	-6.556859449495687|0.22643722380241105	250	258	-26.617208228181074	-29.974753785555794	19.73991606077311	19.437477703685616
YuJ_2015_in_CHN-CRC	-11.797250503411478	4.277343080742068	0.006709135350944784	-20.18084294166593|-3.4136580651570245	54	73	-15.06744587403109	-26.350284339129356	24.174248538994043	21.527708091457782
ZellerG_2014_in_FRA-CRC	-1.8442267847864826	5.808921639815624	0.7515085304875088	-13.229713198825106|9.541259629252142	59	51	-0.3819453458429025	-3.284061107807936	30.536875131872918	25.96569316813074
HanniganGD_2017_in_USA-CRC	-6.736973801269464	4.481302276410789	0.13989261055463828	-15.52032626303461|2.046378660495682	25	24	-7.4113253306482845	-13.144797601178624	14.76662744320821	12.989862554254582
SankaranarayananK_2015_in_USA-T2D	-7.331129583063713	9.194763807019482	0.43114440109085383	-25.352866644821898|10.69060747869447	18	19	-25.775351365689733	-34.909389553292904	25.933204320310928	24.08814058895795
