	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.23627091041365866	0.1958774129603602	0.23347085009730253	-0.14764881898864735|0.6201906398159647	61	46	-0.23959569514494178	-0.18293506959521497	0.2495699493510226	0.21523900168428386
GuptaA_2019_in_IND-CRC	-0.6963532398444342	0.27053379177432463	0.01044470473517654	-1.2265994717221105|-0.16610700796675792	30	30	-0.05531173771958378	-0.17523212422549064	0.11964812659763605	0.21896719928304015
HeQ_2017_in_CHN-CD	-0.8060169859141699	0.2204671194773249	0.0002694907191104681	-1.2381325400897267|-0.3739014317386131	44	47	-0.2506738390547463	-0.4746601069383512	0.16739195939948415	0.18709411484156607
JieZ_2017_in_CHN-ACVD	-0.1897586295143614	0.11515653591308925	0.09976060100939181	-0.4154654399040163|0.03594818087529353	156	149	-0.2518037729851345	-0.3005130696456775	0.20034931496829864	0.1863428006456031
KarlssonFH_2013_in_SWE-IGT	-0.5908508248687947	0.21539555407389668	0.006340038307381978	-1.0130261108536323|-0.1686755388839572	43	49	-0.024848058960190975	-0.11267390070223017	0.10949209619292274	0.14702239847583112
KarlssonFH_2013_in_SWE-T2D	-0.4439169136317707	0.20883285698808643	0.0349791149411136	-0.8532293133284201|-0.03460451393512132	43	53	-0.024848058960190975	-0.10481222478934782	0.10949209619292274	0.1700217882525676
MetaCardis_2020_a_in_FRA-IGT	-0.05315905802785262	0.11096067880300553	0.6331403186451238	-0.2706419884817435|0.16432387242603821	176	151	-0.05764052689795147	-0.1172100419289203	0.18165703866161864	0.17913694405351296
MetaCardis_2020_a_in_FRA-T2D	-0.5288126653424324	0.09445692997918419	5.5944840347840265e-08	-0.7139482481016335|-0.34367708258323143	176	290	-0.05764052689795147	-0.18089068153928495	0.18165703866161864	0.19825824292816177
MetaCardis_2020_a_in_FRA-CAD	-0.023868394594039437	0.11785674237305203	0.8433055472611515	-0.2548676096452214|0.20713082045714254	176	114	-0.05764052689795147	-0.0609691113368219	0.18165703866161864	0.16843244750615527
MetaCardis_2020_a_in_FRA-HF	0.05112957520481132	0.14361888766382103	0.8295529721577781	-0.2303634446162779|0.3326225950259005	176	20	-0.05764052689795147	-0.02767519590593881	0.18165703866161864	0.12367491138090068
MetaCardis_2020_a_in_DEU-T2D	-0.26092816689028336	0.09129549839010603	0.0045842950055778285	-0.4398673437348912|-0.08198899004567553	273	213	-0.13952116223231606	-0.12973122763448944	0.2086179115584904	0.177552583362512
MetaCardis_2020_a_in_DEU-IGT	-0.1245749863663447	0.10793822258307638	0.3464981922507485	-0.3361339026291744|0.08698392989648498	273	73	-0.13952116223231606	-0.16671184109901885	0.2086179115584904	0.20343006643683545
NielsenHB_2014_in_ESP-UC	0.11104324147157012	0.1790346130724228	0.5369458046421081	-0.23986460015037853|0.4619510830935188	59	68	-0.14620683395828196	-0.12052560399276724	0.15446761902979714	0.1457969263312561
NielsenHB_2014_in_ESP-CD	-2.360572984335675	0.3114226423688838	1.2829119569047488e-10	-2.970961363378687|-1.7501846052926628	59	13	-0.14620683395828196	-0.5252310546293398	0.15446761902979714	0.16171429818558591
QinJ_2012_in_CHN-T2D	-0.1036853827451614	0.10853902015110391	0.3398248045522406	-0.31642186224132507|0.10905109675100225	173	169	-0.2376806352908473	-0.2678236561544968	0.18969842166500145	0.19552392257790652
QinN_2014_in_CHN-cirrhosis	-0.4331427757773644	0.1319889416448069	0.0010540186939794755	-0.6918411014011858|-0.17444445015354287	114	123	-0.18845923152737862	-0.28145067453070793	0.17745002662840115	0.19234042641645877
ThomasAM_2018a_in_ITA-CRC	-0.19688974490158812	0.2894968169489228	0.5017976652701557	-0.7643035061214769|0.3705240163183006	22	28	-0.08108842752953663	-0.1668527459272394	0.20498496772846597	0.20956548513520284
ThomasAM_2018b_in_ITA-CRC	0.60536083137424	0.2733996807187644	0.02797802232617194	0.06949745716546174|1.1412242055830184	27	31	-0.17580727532499552	-0.10482305976560452	0.1258888443652161	0.14251817082023271
VogtmannE_2016_in_USA-CRC	-0.5224733766465994	0.2044288678218206	0.010849476473235283	-0.9231539575773677|-0.12179279571583107	52	49	-0.11392288472712268	-0.21262871766981337	0.2164584779474008	0.1989729517841586
WirbelJ_2018_in_DEU-CRC	-0.2457246677516219	0.181025059032491	0.1759007167838329	-0.6005337834553043|0.10908444795206043	65	60	-0.05625442176263384	-0.10299950299202115	0.17749303439241695	0.19125792982341483
XuQ_2021_in_CHN-T2D	-0.8313164793404949	0.13291122081299042	2.351752302671982e-05	-1.091822472133956|-0.5708104865470337	217	31	-0.17718100119102545	-0.34814776818595466	0.2117707260777398	0.21289300329244343
YachidaS_2019_in_JPN-CRC	-0.042761546768570705	0.08892135204985689	0.6308045188276412	-0.2170473967862902|0.13152430324914882	250	258	-0.2794612947346194	-0.2859799017088494	0.2059445792175192	0.19047644557369536
YuJ_2015_in_CHN-CRC	-0.11281629931465385	0.17903904753791558	0.5340776757204391	-0.4637328324889684|0.23810023385966067	54	73	-0.21090502860999386	-0.24323765042839074	0.20247969048215034	0.22117359727144822
ZellerG_2014_in_FRA-CRC	-0.030511166343999554	0.19247763792352798	0.8746652827942306	-0.40776733667411436|0.3467450039861153	59	51	-0.14300361102488207	-0.14980279075942846	0.16181092333328342	0.17938731205122482
HanniganGD_2017_in_USA-CRC	-0.23665158403700032	0.292879180608067	0.4217129081073353	-0.8106947780288116|0.33739160995481104	25	24	-0.29610602819330983	-0.39024647525658995	0.21391337027340107	0.22126414631736424
SankaranarayananK_2015_in_USA-T2D	-0.08417463523802578	0.3384801162058186	0.8050280014081651	-0.7475956630014302|0.5792463925253786	18	19	-0.24574534426194117	-0.2972334881083633	0.25036746016311967	0.19179974782164982
