	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	27.092636825288224	5.622488495047376	5.048331354814376e-06	16.072559374995365|38.112714275581084	61	46	107.14051821608662	134.13982845472916	30.476608529050175	25.48611885836507
GuptaA_2019_in_IND-CRC	2.978606955970953	4.154914360217635	0.47647684060082185	-5.165025190055612|11.122239101997518	30	30	31.298998969108958	37.781035858097475	10.369846068646943	14.219276268533537
HeQ_2017_in_CHN-CD	-51.80796729931393	5.581995511448982	1.3160830592892757e-14	-62.748678501753936|-40.86725609687392	44	47	103.89086058590262	46.3763761415491	19.409316430288612	22.35440409963867
JieZ_2017_in_CHN-ACVD	3.9624152498696787	3.1709219967452484	0.21241612554883763	-2.2525918637510083|10.177422363490365	156	149	97.62388736885322	102.93238398807188	25.317578651734575	26.94425875828312
KarlssonFH_2013_in_SWE-IGT	-1.2557422139788548	3.455685427011883	0.717189231378941	-8.028885650922145|5.517401222964436	43	49	119.59632960458177	117.6262316471149	15.602943770261385	16.606700090513577
KarlssonFH_2013_in_SWE-T2D	-5.080321462084989	3.902091666435474	0.19618444602780016	-12.728421128298518|2.5677782041285404	43	53	119.59632960458177	114.92033005997872	15.602943770261385	19.575847411686855
MetaCardis_2020_a_in_FRA-IGT	-2.030228651997316	2.366574748935367	0.3915987922720544	-6.668715159910635|2.608257855916003	176	151	102.7754147964798	97.82614516774747	18.832299582577882	20.299603418730957
MetaCardis_2020_a_in_FRA-T2D	-12.895909768933924	2.215810538158994	1.1033761214456356e-08	-17.23889842372555|-8.552921114142297	176	290	102.7754147964798	88.98966566142265	18.832299582577882	22.459788234966762
MetaCardis_2020_a_in_FRA-CAD	-0.8346878222267473	2.7310685336909533	0.760111899432091	-6.187582148261015|4.518206503807521	176	114	102.7754147964798	101.58496620606893	18.832299582577882	19.715358269830997
MetaCardis_2020_a_in_FRA-HF	-2.821154953343453	4.433336962982692	0.5253100208584512	-11.51049540078953|5.868185494102623	176	20	102.7754147964798	100.10946477772002	18.832299582577882	17.283180311909607
MetaCardis_2020_a_in_DEU-T2D	-3.904289582471794	2.2014025449146404	0.07677086650280368	-8.21903857050449|0.41045940556090166	273	213	91.26042718017655	94.3759543445532	19.986878220494514	19.527307792396513
MetaCardis_2020_a_in_DEU-IGT	5.016645404858098	2.521685940911453	0.04745544702309429	0.07414096067164966|9.959149849044547	273	73	91.26042718017655	94.74744548189591	19.986878220494514	20.565094500084417
NielsenHB_2014_in_ESP-UC	-13.885715403332686	6.259140864244358	0.028372981397454037	-26.153631497251627|-1.6177993094137442	59	68	116.21768731105331	102.89319310154077	31.535373455534828	38.476470769277924
NielsenHB_2014_in_ESP-CD	-56.50932121236684	9.828070664156073	2.4020189434806975e-07	-75.77233971411275|-37.24630271062094	59	13	116.21768731105331	66.80810175244156	31.535373455534828	22.05325968539201
QinJ_2012_in_CHN-T2D	3.619623471248266	2.9664096789497	0.22324090507001332	-2.194539499493146|9.433786441989678	173	169	83.84626986221122	87.45807261840008	21.432849805918213	27.031636939389788
QinN_2014_in_CHN-cirrhosis	-10.742243963342275	3.1801639937949653	0.0008565330275818641	-16.975365391180407|-4.509122535504144	114	123	95.08382581488874	81.19925497122517	22.930354781324393	23.016374029168677
ThomasAM_2018a_in_ITA-CRC	0.14437389814616708	8.447106972577053	0.9864391601290092	-16.411955768104857|16.70070356439719	22	28	86.63813245740666	79.57406681097878	24.343425260472046	37.510460152910454
ThomasAM_2018b_in_ITA-CRC	14.050515782354495	4.558153435081186	0.0032545524123426023	5.11653504959537|22.98449651511362	27	31	112.95302380900424	127.12062558368082	17.76869019989584	14.510545548386151
VogtmannE_2016_in_USA-CRC	-2.957061056631696	5.165262908483941	0.5683284372058224	-13.08097635726022|7.166854243996827	52	49	129.9804667566096	127.07854898917856	24.058957436873783	26.71970878104779
WirbelJ_2018_in_DEU-CRC	13.709718312014113	4.366444984237624	0.002128714915538601	5.15148614290837|22.267950481119854	65	60	112.92038709717767	127.66944965098381	18.841502819176956	26.19111786095532
XuQ_2021_in_CHN-T2D	-17.03005066942844	4.650953100842008	0.0003075264685419624	-26.145918747078774|-7.914182591778106	217	31	95.56018178720517	78.59625108691462	23.88054759432505	22.967961468399967
YachidaS_2019_in_JPN-CRC	4.134550716775759	2.3882022817391984	0.08402219631304012	-0.5463257554330703|8.815427188984588	250	258	86.61260411409053	90.94474123386317	26.650651687688953	26.624367811195643
YuJ_2015_in_CHN-CRC	3.84205943647565	5.114820110877219	0.45400155888100113	-6.182987980843699|13.867106853795	54	73	106.05224145553406	107.70938874490714	24.98355303294619	28.962583617684754
ZellerG_2014_in_FRA-CRC	-5.602231626573772	5.6009690468260915	0.3195009341779961	-16.58013095835291|5.375667705205368	59	51	122.30961674071807	117.42634427939417	26.000464587881776	29.616991666504074
HanniganGD_2017_in_USA-CRC	2.2594027014087725	4.921533011092133	0.6484330194279307	-7.386802000331807|11.905607403149352	25	24	49.905662665324144	47.09323213392264	15.470396703621391	15.896097768749929
SankaranarayananK_2015_in_USA-T2D	7.034068531968864	7.047852335478841	0.3257454933653826	-6.779722045569664|20.847859109507393	18	19	102.44323123840041	107.27048425033067	20.020212346248623	18.463044429181274
