	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.9498783621196756	0.2059110866746394	5.048331354814376e-06	0.5462926322373824|1.3534640920019687	61	46	107.14051821608662	134.13982845472916	30.476608529050175	25.48611885836507
GuptaA_2019_in_IND-CRC	0.1882639305514909	0.26327091064084	0.47647684060082185	-0.32774705430455553|0.7042749154075374	30	30	31.298998969108958	37.781035858097475	10.369846068646943	14.219276268533537
HeQ_2017_in_CHN-CD	-1.9686938826594327	0.25833000383131416	1.3160830592892757e-14	-2.4750206901688085|-1.4623670751500568	44	47	103.89086058590262	46.3763761415491	19.409316430288612	22.35440409963867
JieZ_2017_in_CHN-ACVD	0.14361424499990968	0.11504626135490002	0.21241612554883763	-0.08187642725569436|0.36910491725551375	156	149	97.62388736885322	102.93238398807188	25.317578651734575	26.94425875828312
KarlssonFH_2013_in_SWE-IGT	-0.07677160097328362	0.21092191021395137	0.717189231378941	-0.4901785449926283|0.3366353430460611	43	49	119.59632960458177	117.6262316471149	15.602943770261385	16.606700090513577
KarlssonFH_2013_in_SWE-T2D	-0.270040479038641	0.20724549003840914	0.19618444602780016	-0.6762416395139229|0.13616068143664095	43	53	119.59632960458177	114.92033005997872	15.602943770261385	19.575847411686855
MetaCardis_2020_a_in_FRA-IGT	-0.09545221061246142	0.11100424325904402	0.3915987922720544	-0.3130205274001877|0.12211610617526486	176	151	102.7754147964798	97.82614516774747	18.832299582577882	20.299603418730957
MetaCardis_2020_a_in_FRA-T2D	-0.5573024545298811	0.09463327050134597	1.1033761214456356e-08	-0.7427836647125192|-0.37182124434724306	176	290	102.7754147964798	88.98966566142265	18.832299582577882	22.459788234966762
MetaCardis_2020_a_in_FRA-CAD	-0.03687096237112429	0.11786255928008355	0.760111899432091	-0.26788157856008804|0.19413965381783943	176	114	102.7754147964798	101.58496620606893	18.832299582577882	19.715358269830997
MetaCardis_2020_a_in_FRA-HF	-0.15093156439207817	0.1437997292616498	0.5253100208584512	-0.4327790337449118|0.13091590496075545	176	20	102.7754147964798	100.10946477772002	18.832299582577882	17.283180311909607
MetaCardis_2020_a_in_DEU-T2D	-0.16247442959750408	0.09105934359570379	0.07677086650280368	-0.34095074304508355|0.016001883850075366	273	213	91.26042718017655	94.3759543445532	19.986878220494514	19.527307792396513
MetaCardis_2020_a_in_DEU-IGT	0.26289149209860435	0.1082984673165294	0.04745544702309429	0.050626496158206746|0.47515648803900196	273	73	91.26042718017655	94.74744548189591	19.986878220494514	20.565094500084417
NielsenHB_2014_in_ESP-UC	-0.3978522207106728	0.18065793637665734	0.028372981397454037	-0.7519417760089211|-0.043762665412424406	59	68	116.21768731105331	102.89319310154077	31.535373455534828	38.476470769277924
NielsenHB_2014_in_ESP-CD	-1.786642310867926	0.2827997325163786	2.4020189434806975e-07	-2.340929786600028|-1.232354835135824	59	13	116.21768731105331	66.80810175244156	31.535373455534828	22.05325968539201
QinJ_2012_in_CHN-T2D	0.13235870515382622	0.10858486200037772	0.22324090507001332	-0.0804676243669141|0.3451850346745665	173	169	83.84626986221122	87.45807261840008	21.432849805918213	27.031636939389788
QinN_2014_in_CHN-cirrhosis	-0.4410165917322226	0.13204440867230205	0.0008565330275818641	-0.6998236327299345|-0.18220955073451056	114	123	95.08382581488874	81.19925497122517	22.930354781324393	23.016374029168677
ThomasAM_2018a_in_ITA-CRC	0.0049698092293167405	0.28879839476597	0.9864391601290092	-0.5610750445119844|0.571014662970618	22	28	86.63813245740666	79.57406681097878	24.343425260472046	37.510460152910454
ThomasAM_2018b_in_ITA-CRC	0.8257994285405178	0.2785066670414586	0.0032545524123426023	0.27992636113925895|1.3716724959417768	27	31	112.95302380900424	127.12062558368082	17.76869019989584	14.510545548386151
VogtmannE_2016_in_USA-CRC	-0.11512560480505059	0.2011943262744854	0.5683284372058224	-0.509466484303042|0.27921527469294083	52	49	129.9804667566096	127.07854898917856	24.058957436873783	26.71970878104779
WirbelJ_2018_in_DEU-CRC	0.5666640912149254	0.18392954957789487	0.002128714915538601	0.2061621740422515|0.9271660083875994	65	60	112.92038709717767	127.66944965098381	18.841502819176956	26.19111786095532
XuQ_2021_in_CHN-T2D	-0.7059068453020123	0.13142885960755094	0.0003075264685419624	-0.9635074101328122|-0.44830628047121246	217	31	95.56018178720517	78.59625108691462	23.88054759432505	22.967961468399967
YachidaS_2019_in_JPN-CRC	0.15394507913551964	0.08904278871378563	0.08402219631304012	-0.020578786743500194|0.3284689450145395	250	258	86.61260411409053	90.94474123386317	26.650651687688953	26.624367811195643
YuJ_2015_in_CHN-CRC	0.13590145907754442	0.17910318315658533	0.45400155888100113	-0.2151407799093628|0.48694369806445165	54	73	106.05224145553406	107.70938874490714	24.98355303294619	28.962583617684754
ZellerG_2014_in_FRA-CRC	-0.19300457420250014	0.19291401466523844	0.3195009341779961	-0.5711160429463675|0.18510689454136722	59	51	122.30961674071807	117.42634427939417	26.000464587881776	29.616991666504074
HanniganGD_2017_in_USA-CRC	0.13395680081264127	0.2921865266664455	0.6484330194279307	-0.4387287914535919|0.7066423930788744	25	24	49.905662665324144	47.09323213392264	15.470396703621391	15.896097768749929
SankaranarayananK_2015_in_USA-T2D	0.33752383571663247	0.34073077049248185	0.3257454933653826	-0.330308474448632|1.005356145881897	18	19	102.44323123840041	107.27048425033067	20.020212346248623	18.463044429181274
