	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.47215373228455526	0.1978985674263912	0.01843648576600602	0.08427254012882851|0.8600349244402821	61	46	4.386884527236329	4.718639150750097	0.736430419429366	0.795486072326625
GuptaA_2019_in_IND-CRC	0.5857828695890268	0.2682642257766943	0.02980645688663316	0.059984987066705964|1.1115807521113477	30	30	1.691006931164152	2.3237762778774305	0.7002344372110785	0.8160183105462756
HeQ_2017_in_CHN-CD	-1.2742950893903984	0.2325509673299471	4.3959534926793906e-08	-1.7300949853570946|-0.8184951934237021	44	47	4.5001512023046155	3.116943575113379	0.6338218653293552	0.9739701009707649
JieZ_2017_in_CHN-ACVD	0.15061495724886814	0.11506103318897473	0.19102100884201043	-0.07490466780152233|0.3761345822992586	156	149	4.3233934264194955	4.4795523420115515	0.7794074212430883	0.821286584120124
KarlssonFH_2013_in_SWE-IGT	0.30041559613329144	0.21203020819738713	0.1585717957636727	-0.11516361193358732|0.7159948042001703	43	49	4.773673866944975	4.940594040918707	0.4925932294582422	0.5195488458059327
KarlssonFH_2013_in_SWE-T2D	-0.046488571448924015	0.20633521819245979	0.8231487117060965	-0.45090559910614514|0.35792845620829716	43	53	4.773673866944975	4.8030646412773885	0.4925932294582422	0.5997365961812638
MetaCardis_2020_a_in_FRA-IGT	0.06017130882316271	0.11096618800498331	0.5890266204822474	-0.15732241966660457|0.27766503731293	176	151	4.014617074318131	4.094517238525571	0.7707711499999584	0.7403293833064549
MetaCardis_2020_a_in_FRA-T2D	0.02328694138640587	0.09285124623037587	0.8079684899651979	-0.15870150122513083|0.2052753839979426	176	290	4.014617074318131	4.037922137656506	0.7707711499999584	0.754341378883396
MetaCardis_2020_a_in_FRA-CAD	0.019947293207914094	0.11785547692721676	0.8687896899287797	-0.21104944156943073|0.25094402798525894	176	114	4.014617074318131	3.9427879024638677	0.7707711499999584	0.8044941261690362
MetaCardis_2020_a_in_FRA-HF	-0.3052855036219039	0.1444294421016018	0.199606709226263	-0.5883672101410434|-0.022203797102764322	176	20	4.014617074318131	3.6869878546133172	0.7707711499999584	0.6122472482487096
MetaCardis_2020_a_in_DEU-T2D	0.013826088505506252	0.09091056432584858	0.8800993342336023	-0.16435861757315695|0.19201079458416948	273	213	3.840486350341514	3.8530818148151806	0.823169553638168	0.7642186716334559
MetaCardis_2020_a_in_DEU-IGT	0.2549522764924793	0.10827087435883563	0.054520338370326736	0.04274136274916149|0.4671631902357971	273	73	3.840486350341514	3.994707312584534	0.823169553638168	0.8084417235604413
NielsenHB_2014_in_ESP-UC	-0.2686269787076914	0.17970181546236613	0.1367434561667837	-0.620842537013929|0.08358857959854621	59	68	4.5656337685081665	4.300038258172071	0.8935992082750901	1.0431397240752176
NielsenHB_2014_in_ESP-CD	-0.6301740178861908	0.24495626104653745	0.04653605970170147	-1.1102882895374042|-0.15005974623497736	59	13	4.5656337685081665	4.077928173689451	0.8935992082750901	0.6367132104522046
QinJ_2012_in_CHN-T2D	0.1477030494308517	0.10861395866817655	0.17421427702655587	-0.06518030955877435|0.36058640842047773	173	169	3.8919426525341407	4.021918735938852	0.7011878618672639	0.8254655305771346
QinN_2014_in_CHN-cirrhosis	-0.6300970804786435	0.13366618595138616	2.5246355261168807e-06	-0.8920828049433605|-0.3681113560139267	114	123	4.091967443173294	3.604883935332729	0.5750002870116002	0.6397689702499909
ThomasAM_2018a_in_ITA-CRC	-0.07462321163125255	0.2888984444115319	0.7986307170966354	-0.6408641626778551|0.49161773941535003	22	28	3.670257153153554	3.4884791070672017	0.755711418246594	1.2386496406623146
ThomasAM_2018b_in_ITA-CRC	-0.13921534297419613	0.2676686507196118	0.6054670909559274	-0.6638458983846353|0.385415212436243	27	31	4.982165446744578	4.942430809796595	0.454739918298322	0.5870563977009453
VogtmannE_2016_in_USA-CRC	0.352202444875074	0.20258042567164783	0.08306880323381372	-0.04485518944135575|0.7492600791915038	52	49	4.594471956873682	4.8154622811008005	0.6599448674375221	0.6953346201762985
WirbelJ_2018_in_DEU-CRC	0.10410826738142508	0.18046787806324271	0.565123881629682	-0.24960877362253064|0.4578253083853808	65	60	4.449156465125387	4.522036208526387	0.6524724781230216	0.750906827530633
XuQ_2021_in_CHN-T2D	-0.005288618948208043	0.12751766418009325	0.9781371171370259	-0.2552232407411908|0.24464600284477472	217	31	3.924224286297346	3.928520756127679	0.6686091793198524	0.9192752565086892
YachidaS_2019_in_JPN-CRC	0.23328578205316372	0.08921310061295322	0.008967641470127968	0.05842810485177541|0.40814345925455203	250	258	4.160888930300943	4.335229294989751	0.7973582928668702	0.8143932344328906
YuJ_2015_in_CHN-CRC	0.04064012335680868	0.17891526297568433	0.8226441756548614	-0.3100337920755326|0.39131403878914994	54	73	4.4556983843035205	4.465032187086279	0.5397452498676686	0.7370801730063139
ZellerG_2014_in_FRA-CRC	-0.13066108203585367	0.19267169600825607	0.4998082094422779	-0.5082976062120356|0.2469754421403282	59	51	4.656920528291481	4.538566887569734	0.7517045025857274	0.6648813229731005
HanniganGD_2017_in_USA-CRC	0.16345399138847297	0.2923463299798974	0.578200971236038	-0.40954481537212595|0.7364527981490718	25	24	3.665418683730451	3.686232293951066	0.6672823689072657	0.6370555814952312
SankaranarayananK_2015_in_USA-T2D	-0.083084459110954	0.33847626215366017	0.8075009133500155	-0.7464979329321279|0.5803290147102199	18	19	4.724840094192857	4.738454930902384	0.5409707775139774	0.5727540417630672
