	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	-0.24981402415651213	0.1959574307198346	0.2079419931682086	-0.633890588367388|0.1342625400543637	61	46	0.5664232311790283	0.5271896097976074	0.15785582394079473	0.14695233049324488
GuptaA_2019_in_IND-CRC	0.4654042064368831	0.2662220700137287	0.08189912771947808	-0.0563910507900251|0.9871994636637913	30	30	0.2780774005264585	0.36046614877941197	0.1565085694647586	0.20932350276541253
HeQ_2017_in_CHN-CD	0.27315860015434246	0.21301253138885196	0.20127494719748723	-0.14434596136780736|0.6906631616764922	44	47	0.5762840070273731	0.6516442407032181	0.1300613805147512	0.17085327551933704
JieZ_2017_in_CHN-ACVD	0.0962690956704496	0.11496477897553464	0.4028928243326906	-0.12906187112159828|0.3216000624624975	156	149	0.5674516595694903	0.5848332972389461	0.13378374831297601	0.12812489505164124
KarlssonFH_2013_in_SWE-IGT	0.45252682563110846	0.21352575471416546	0.03495984185546016	0.034016346391344154|0.8710373048708728	43	49	0.43793913529404893	0.4950793136164212	0.09844090729110538	0.11702468071231745
KarlssonFH_2013_in_SWE-T2D	0.35919711733722093	0.2079643431321409	0.08666093916161219	-0.04841299520177522|0.7668072298762171	43	53	0.43793913529404893	0.4929022340927871	0.09844090729110538	0.12719747039945567
MetaCardis_2020_a_in_FRA-IGT	0.10683441739544923	0.11102019792450106	0.3376880982494139	-0.11076517053657285|0.3244340053274713	176	151	0.42436768816488474	0.473701503745917	0.1537036837816901	0.14535038294208177
MetaCardis_2020_a_in_FRA-T2D	0.4267724207909683	0.09389907999983833	1.0456332644423111e-05	0.24273022399128516|0.6108146175906514	176	290	0.42436768816488474	0.505481379562746	0.1537036837816901	0.15763551729925432
MetaCardis_2020_a_in_FRA-CAD	-0.006458600696727578	0.11785285341102114	0.9573424016779443	-0.237450193382329|0.22453299198887386	176	114	0.42436768816488474	0.4109276109315689	0.1537036837816901	0.1541927579514881
MetaCardis_2020_a_in_FRA-HF	-0.18402674095331892	0.1438990428514029	0.4387768574959757	-0.46606886494206856|0.09801538303543075	176	20	0.42436768816488474	0.3771690804529694	0.1537036837816901	0.1434938771078224
MetaCardis_2020_a_in_DEU-T2D	0.09832377992671008	0.09096439118696563	0.2836802591506171	-0.07996642679974254|0.2766139866531627	273	213	0.45651830455938147	0.4370055971505781	0.1810257899942618	0.16259335075650586
MetaCardis_2020_a_in_DEU-IGT	0.16338820594711959	0.10801345048612526	0.21715282283746057	-0.048318157005685924|0.3750945688999251	273	73	0.45651830455938147	0.48067292945361906	0.1810257899942618	0.18331343502404582
NielsenHB_2014_in_ESP-UC	-0.03910201788281093	0.17891389173581587	0.8277642798370535	-0.38977324568501004|0.3115692099193882	59	68	0.48586972799609013	0.47671137552579534	0.14216080435599032	0.13491998223189833
NielsenHB_2014_in_ESP-CD	1.8164375242108672	0.28415280308784996	1.6420479267223316e-07	1.2594980301586813|2.373377018263053	59	13	0.48586972799609013	0.744609150391593	0.14216080435599032	0.07597712421801604
QinJ_2012_in_CHN-T2D	-0.0010896886818359526	0.10846617250009315	0.9919907333042889	-0.2136833867820185|0.2115040094183466	173	169	0.5514212708246143	0.558874264763639	0.13951027522078246	0.14739857177186366
QinN_2014_in_CHN-cirrhosis	0.18415233513774207	0.13074420219956895	0.15973654210112995	-0.07210630117341307|0.4404109714488972	114	123	0.5440838126935139	0.5734372023060044	0.12076217295261714	0.1274611923513045
ThomasAM_2018a_in_ITA-CRC	-0.04962432925991625	0.2888423946783901	0.8652549528824247	-0.6157554228295609|0.5165067643097284	22	28	0.4582717683102228	0.4795448479636198	0.1505454215584624	0.1742490943895374
ThomasAM_2018b_in_ITA-CRC	-0.8138663324493979	0.27819265814846855	0.0036920198385162945	-1.3591239424203962|-0.2686087224783995	27	31	0.5434599321069421	0.4765124073021571	0.07992672658162606	0.1119377715205612
VogtmannE_2016_in_USA-CRC	0.4535322564889236	0.20359582607313584	0.026385603666235328	0.054484437385577345|0.8525800755922699	52	49	0.4784669202481767	0.5409791761818454	0.16266967745384103	0.13984984898815722
WirbelJ_2018_in_DEU-CRC	0.06439549151081328	0.18039248654308743	0.721864821765505	-0.2891737821136381|0.4179647651352646	65	60	0.45953598395823997	0.46612452482934397	0.1234064092565825	0.14642340948699778
XuQ_2021_in_CHN-T2D	0.6884990267743262	0.13124102636296284	0.00042807116565635937	0.431266615102919|0.9457314384457334	217	31	0.5234619125770795	0.619514553447816	0.14299344065991668	0.14980482689345306
YachidaS_2019_in_JPN-CRC	0.0038242336659795903	0.08891127274016164	0.9657132826447247	-0.17044186090473723|0.1780903282366964	250	258	0.5733338043673097	0.5708056122885331	0.14955452429778676	0.14430273406124666
YuJ_2015_in_CHN-CRC	0.00025836223495289085	0.17889679783374018	0.9988629263299413	-0.35037936151917787|0.3508960859890837	54	73	0.5558952430087005	0.5601290293237844	0.13032558643801348	0.14023464187745513
ZellerG_2014_in_FRA-CRC	-0.00660126235834269	0.19246696412468714	0.9727743780086857	-0.38383651204272945|0.3706339873260441	59	51	0.4874502224615936	0.4805623865561848	0.13538807226768393	0.13844488898057855
HanniganGD_2017_in_USA-CRC	0.19843343279940046	0.29257676311226105	0.5000330212630837	-0.37501702290063116|0.7718838884994321	25	24	0.6175382200966549	0.6659229209616283	0.12790653482007278	0.12752690777694087
SankaranarayananK_2015_in_USA-T2D	0.014313371529605186	0.33833465679645086	0.9665033566474232	-0.6488225557914384|0.6774492988506489	18	19	0.5732098471309706	0.592716778264708	0.14333735087642271	0.12063663413421595
