	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.5688237332373189	0.1991058154481023	0.004768429288045972	0.17857633495903846|0.9590711315155994	61	46	97.46603916096255	124.59930198005345	49.22221809966798	41.32570426409429
GuptaA_2019_in_IND-CRC	-0.4698497510206043	0.2662894175097963	0.07910012842927239	-0.9917770093398051|0.05207750729859645	30	30	37.834334364224375	36.25229747523587	17.25676906904803	17.075147698180174
HeQ_2017_in_CHN-CD	-1.658336962364797	0.24578201628610394	1.2321611940316918e-11	-2.140069714285561|-1.1766042104440333	44	47	78.74550305046104	19.304474922280697	32.27851430621507	17.394839014663823
JieZ_2017_in_CHN-ACVD	-0.12622131001836467	0.11501259703129646	0.2729667485117725	-0.3516460001997057|0.09920338016297639	156	149	71.31201006704423	66.82600527367308	36.30554368362162	33.50792530774165
KarlssonFH_2013_in_SWE-IGT	-0.6867622426637039	0.21697044934999832	0.001632252321430886	-1.1120243233897007|-0.2615001619377072	43	49	141.38041458146475	117.90438059778303	26.693636893393716	34.01580865056641
KarlssonFH_2013_in_SWE-T2D	-0.6084018723452941	0.21102621437076352	0.004233008040442531	-1.0220132525119907|-0.19479049217859756	43	53	141.38041458146475	118.19287748719108	26.693636893393716	37.244305445369754
MetaCardis_2020_a_in_FRA-IGT	-0.13392512646215113	0.11106538126816755	0.2296083872480641	-0.3516132737477595|0.08376302082345727	176	151	115.2814033853384	97.35266277927239	39.10401459257506	39.638450468836844
MetaCardis_2020_a_in_FRA-T2D	-0.6990079155860469	0.09564149763294025	1.2722407777733796e-12	-0.8864652509466098|-0.511550580225484	176	290	115.2814033853384	80.72067916616356	39.10401459257506	42.526984114301534
MetaCardis_2020_a_in_FRA-CAD	-0.19301626348124765	0.11812664175505647	0.11072208713833692	-0.4245444813211583|0.03851195435866303	176	114	115.2814033853384	109.3448583553346	39.10401459257506	38.65268282299453
MetaCardis_2020_a_in_FRA-HF	-0.3108471895248412	0.14446001525634525	0.19157389450254003	-0.5939888194272779|-0.027705559622404508	176	20	115.2814033853384	108.44053522227998	39.10401459257506	38.103365986809536
MetaCardis_2020_a_in_DEU-T2D	-0.31272031579381154	0.09146344045747117	0.0006952621662684597	-0.491988659090455|-0.13345197249716806	273	213	87.55275963301027	90.25784847234821	40.80899128544519	37.4937454638707
MetaCardis_2020_a_in_DEU-IGT	0.11043723771585834	0.10791584931925968	0.40389696121048524	-0.10107782694989065|0.3219523023816073	273	73	87.55275963301027	87.54022575098078	40.80899128544519	36.42990408106591
NielsenHB_2014_in_ESP-UC	-0.5396850741423574	0.1821242759367942	0.003181601994435807	-0.896648654978474|-0.18272149330624082	59	68	117.9009567567433	93.94504219257686	47.21049154327289	45.154875921408774
NielsenHB_2014_in_ESP-CD	-2.037409187590544	0.29466600850036256	9.330213031342916e-09	-2.6149545642512546|-1.4598638109298332	59	13	117.9009567567433	29.80728286294307	47.21049154327289	15.512708378052482
QinJ_2012_in_CHN-T2D	0.04189446638915264	0.10847806217216446	0.6995763724314112	-0.1707225354682897|0.254511468246595	173	169	65.94563765223965	65.03305164195496	34.42258816252711	38.46557446714258
QinN_2014_in_CHN-cirrhosis	-0.7465524741100381	0.13493614883055138	3.2988079930637825e-08	-1.0110273258179188|-0.4820776224021574	114	123	86.37231453598845	56.07716779300249	39.7303955166099	26.693993357899807
ThomasAM_2018a_in_ITA-CRC	0.030321799409862907	0.28881454373574733	0.9174115099668201	-0.5357547063122019|0.5963983051319277	22	28	83.31641299713878	72.67593318902122	42.566258394596744	49.48330540419609
ThomasAM_2018b_in_ITA-CRC	0.7191313666638354	0.2758507915203197	0.009677091454711505	0.1784638152840088|1.259798918043662	27	31	102.89882804284761	127.65356796470628	34.29996423219124	33.272366926318504
VogtmannE_2016_in_USA-CRC	-0.4843847126115263	0.20395449640153382	0.017916998537079835	-0.8841355255585326|-0.08463389966452006	52	49	129.4810717049289	107.77859386796433	49.118046419130515	45.446429411072835
WirbelJ_2018_in_DEU-CRC	-0.05508086329298223	0.18037994543268815	0.7607473506663649	-0.408625556341051|0.29846382975508656	65	60	123.4488436720531	125.14721701568286	36.24837404800141	41.44708577060888
XuQ_2021_in_CHN-T2D	-0.9482368091688227	0.134492768674618	1.6066687610180836e-06	-1.2118426357710739|-0.6846309825665714	217	31	84.55041729113586	50.85536181631119	36.672442864160715	30.490953177476207
YachidaS_2019_in_JPN-CRC	0.027241176606637232	0.0889153150860279	0.7594652688650652	-0.14703284096197744|0.20151519417525193	250	258	59.995395885909474	60.96998744830737	36.338933331410075	34.84262351066668
YuJ_2015_in_CHN-CRC	-0.1826762660646672	0.17926952734128931	0.31463812256581103	-0.5340445396535942|0.16869200752425983	54	73	90.98479558150295	81.3591044057778	42.416148449647665	41.40665164003864
ZellerG_2014_in_FRA-CRC	-0.15817007321198195	0.19276714761890032	0.41424430086092545	-0.5359936825450266|0.21965353612106264	59	51	121.92767139487515	114.14228317158623	43.083420368419176	46.828078993079544
HanniganGD_2017_in_USA-CRC	-0.18005455968859316	0.2924501576438685	0.5403704908902776	-0.7532568686705754|0.393147749293389	25	24	42.49433733467586	33.948434532744024	24.576685473347197	21.024643609979872
SankaranarayananK_2015_in_USA-T2D	-0.007570797283347698	0.3383315366629383	0.9822786317997023	-0.6707006091427068|0.6555590145760113	18	19	76.66787987271069	72.36109469703776	38.15910290609269	32.33678063578329
