	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.0173891979293625	0.020240372526116806	0.3922810258111852	-0.022281932221826443|0.05706032808055144	61	46	0.32682753603408654	0.3442545402023926	0.10852709900989034	0.09249141407640193
GuptaA_2019_in_IND-CRC	-0.04873767779651546	0.030617560983398497	0.11715674791789421	-0.1087480973239765|0.011272741730945592	30	30	0.2227656628068748	0.18523402455392138	0.09812671559132928	0.07883565414413676
HeQ_2017_in_CHN-CD	-0.127007088849989	0.02133511017058523	5.569734893258797e-08	-0.16882390478433607|-0.08519027291564196	44	47	0.3256101679726269	0.17698413376486696	0.07678446683464518	0.08432696842370557
JieZ_2017_in_CHN-ACVD	-0.025677317899641113	0.011684243653113229	0.028741562707998766	-0.04857843545974304|-0.0027762003395391845	156	149	0.31564788658435583	0.28432022759326864	0.09747775660785085	0.09346726958887157
KarlssonFH_2013_in_SWE-IGT	-0.026543601960553543	0.011316551515424048	0.021246960031213073	-0.04872404293078468|-0.004363160990322409	43	49	0.4130910763338581	0.3824054129141911	0.049765267703966214	0.05742283288293707
KarlssonFH_2013_in_SWE-T2D	-0.024638146960241004	0.013833101981523713	0.07819638766056988	-0.05175102684402748|0.002474732923545473	43	53	0.4130910763338581	0.3880900093034393	0.049765267703966214	0.07259635362806141
MetaCardis_2020_a_in_FRA-IGT	0.007085920977686952	0.010448204500922847	0.4981350741374735	-0.01339255984412183|0.027564401799495732	176	151	0.3667271612669335	0.3564914618169968	0.09057186473076984	0.08224285100534658
MetaCardis_2020_a_in_FRA-T2D	-0.03685809107090614	0.00932760034258299	8.983268525760214e-05	-0.0551401877423688|-0.018575994399443477	176	290	0.3667271612669335	0.324590698023461	0.09057186473076984	0.08926733786340439
MetaCardis_2020_a_in_FRA-CAD	-0.005943619844159627	0.012471376593230733	0.6340257716250144	-0.030387517966891864|0.018500278278572608	176	114	0.3667271612669335	0.34995849959474695	0.09057186473076984	0.08875145493450716
MetaCardis_2020_a_in_FRA-HF	-0.019037093314854286	0.020774987443466356	0.3606405556028822	-0.05975606870404834|0.02168188207433977	176	20	0.3667271612669335	0.3494938845470307	0.09057186473076984	0.07522776039960989
MetaCardis_2020_a_in_DEU-T2D	-0.04105897659423615	0.010829917908380565	0.00016894465184934395	-0.06228561569466205|-0.019832337493810245	273	213	0.3169971423270654	0.3072743695160886	0.1007815614741727	0.0941805652649203
MetaCardis_2020_a_in_DEU-IGT	0.005028130143599977	0.012671340661534768	0.6917548993365079	-0.019807697553008166|0.029863957840208122	273	73	0.3169971423270654	0.3139610883546002	0.1007815614741727	0.09237313790663436
NielsenHB_2014_in_ESP-UC	0.010957629766367168	0.014121594539047662	0.4392810431685006	-0.01672069553016625|0.03863595506290059	59	68	0.33966289403780814	0.35618577153302816	0.07693539475292246	0.08333177729718166
NielsenHB_2014_in_ESP-CD	-0.12469959552064692	0.025955444200166013	9.107490816751545e-06	-0.1755722661529723|-0.07382692488832154	59	13	0.33966289403780814	0.21937809576225312	0.07693539475292246	0.088482548401516
QinJ_2012_in_CHN-T2D	-0.022557199866509545	0.011268467477989447	0.046107589929051465	-0.04464339612336886|-0.0004710036096502272	173	169	0.3137406355337672	0.2910506086091421	0.09010111988313688	0.09501845601114171
QinN_2014_in_CHN-cirrhosis	-0.06186418421577956	0.012607831430965494	1.7435583933542606e-06	-0.08657553382047192|-0.03715283461108719	114	123	0.35562458116613527	0.29198652777529643	0.0839516531246683	0.09439734829433145
ThomasAM_2018a_in_ITA-CRC	-0.05066639395955636	0.033443768785599196	0.13677256227265425	-0.1162161807793308|0.014883392860218066	22	28	0.37718334078068627	0.31269210203638037	0.0895847401394645	0.13754557874203358
ThomasAM_2018b_in_ITA-CRC	0.0026064423926494412	0.01732368746555978	0.8809764857202457	-0.031347985039847724|0.03656086982514661	27	31	0.36765265678194675	0.37168934753655264	0.06143904054381866	0.06725481266352862
VogtmannE_2016_in_USA-CRC	-0.038055539497590905	0.01684296664079212	0.026117864295605513	-0.07106775411354346|-0.0050433248816383475	52	49	0.3645440355210541	0.3283504585120321	0.08612046670691849	0.08848571930409069
WirbelJ_2018_in_DEU-CRC	-0.038678142281493785	0.018437736450663798	0.03802384028887687	-0.07481610572479483|-0.0025401788381927415	65	60	0.40328156219560624	0.3631250218373228	0.09043198977341847	0.0998114836006894
XuQ_2021_in_CHN-T2D	-0.07812368044947066	0.019240112793021704	6.609537771568842e-05	-0.1158343015237932|-0.040413059375148115	217	31	0.34628091138605416	0.2713667852618614	0.09999550558730282	0.0863397623095466
YachidaS_2019_in_JPN-CRC	-0.007959626323638929	0.008251660533454287	0.33520418938787133	-0.02413288096920933|0.008213628321931472	250	258	0.2938725096326903	0.28482571057968387	0.10023356972772626	0.08836149567501622
YuJ_2015_in_CHN-CRC	-0.025013903559888327	0.01797428660472326	0.16656078421847942	-0.06024350530514592|0.010215698185369264	54	73	0.3449902143987068	0.3168913788953937	0.08785015679074216	0.10046503233205298
ZellerG_2014_in_FRA-CRC	-0.006399414034634454	0.014817806989745637	0.6667191014184473	-0.035442315734535906|0.022643487665266995	59	51	0.3444466114367115	0.3307595957967564	0.06527433919315712	0.08210709183274904
HanniganGD_2017_in_USA-CRC	-0.029389692351922826	0.03399576379519595	0.3919963535934068	-0.09602138939050689|0.03724200468666123	25	24	0.32143219190334515	0.27567644570503835	0.1035691845716487	0.1051852659266515
SankaranarayananK_2015_in_USA-T2D	-0.018242144081839766	0.0389130941181808	0.6423964447290396	-0.09451180855347413|0.058027520389794605	18	19	0.32746450286902945	0.29548329015634467	0.12302483324625552	0.09213508731712201
