	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.1693582448126427	0.19554715890316726	0.3922810258111852	-0.21391418663756515|0.5526306762628506	61	46	0.32682753603408654	0.3442545402023926	0.10852709900989034	0.09249141407640193
GuptaA_2019_in_IND-CRC	-0.4180326852812954	0.2655432278967943	0.11715674791789421	-0.9384974119590122|0.10243204139642142	30	30	0.2227656628068748	0.18523402455392138	0.09812671559132928	0.07883565414413676
HeQ_2017_in_CHN-CD	-1.262711668061069	0.23219563829184445	5.569734893258797e-08	-1.7178151191130842|-0.8076082170090539	44	47	0.3256101679726269	0.17698413376486696	0.07678446683464518	0.08432696842370557
JieZ_2017_in_CHN-ACVD	-0.2525644057749407	0.11535541197420301	0.028741562707998766	-0.4786610132443786|-0.026467798305502804	156	149	0.31564788658435583	0.28432022759326864	0.09747775660785085	0.09346726958887157
KarlssonFH_2013_in_SWE-IGT	-0.4955415286804656	0.2140557490544873	0.021246960031213073	-0.9150907968272607|-0.07599226053367047	43	49	0.4130910763338581	0.3824054129141911	0.049765267703966214	0.05742283288293707
KarlssonFH_2013_in_SWE-T2D	-0.36942272398054093	0.208059625195117	0.07819638766056988	-0.7772195893629703|0.038374141401888384	43	53	0.4130910763338581	0.3880900093034393	0.049765267703966214	0.07259635362806141
MetaCardis_2020_a_in_FRA-IGT	0.07545984434015042	0.11098056179819792	0.4981350741374735	-0.1420620567843175|0.2929817454646183	176	151	0.3667271612669335	0.3564914618169968	0.09057186473076984	0.08224285100534658
MetaCardis_2020_a_in_FRA-T2D	-0.37838551486153293	0.09367526378652882	8.983268525760214e-05	-0.5619890318831294|-0.19478199783993644	176	290	0.3667271612669335	0.324590698023461	0.09057186473076984	0.08926733786340439
MetaCardis_2020_a_in_FRA-CAD	-0.05749493996472831	0.11787689248165378	0.6340257716250144	-0.28853364922876973|0.1735437692993131	176	114	0.3667271612669335	0.34995849959474695	0.09057186473076984	0.08875145493450716
MetaCardis_2020_a_in_FRA-HF	-0.21734204215558964	0.14401874723948097	0.3606405556028822	-0.4996187867449723|0.06493470243379304	176	20	0.3667271612669335	0.3494938845470307	0.09057186473076984	0.07522776039960989
MetaCardis_2020_a_in_DEU-T2D	-0.34731650235233014	0.09159230735272944	0.00016894465184934395	-0.5268374247636798|-0.16779557994098043	273	213	0.3169971423270654	0.3072743695160886	0.1007815614741727	0.0941805652649203
MetaCardis_2020_a_in_DEU-IGT	0.05243702777797374	0.10785221172439702	0.6917548993365079	-0.15895330720184442|0.2638273627577919	273	73	0.3169971423270654	0.3139610883546002	0.1007815614741727	0.09237313790663436
NielsenHB_2014_in_ESP-UC	0.1391557437897119	0.17911317966398074	0.4392810431685006	-0.21190608835169034|0.49021757593111415	59	68	0.33966289403780814	0.35618577153302816	0.07693539475292246	0.08333177729718166
NielsenHB_2014_in_ESP-CD	-1.4928713155699276	0.27035403488237325	9.107490816751545e-06	-2.022765223939379|-0.962977407200476	59	13	0.33966289403780814	0.21937809576225312	0.07693539475292246	0.088482548401516
QinJ_2012_in_CHN-T2D	-0.2171403710679408	0.10878533069704116	0.046107589929051465	-0.43035961923414146|-0.003921122901740126	173	169	0.3137406355337672	0.2910506086091421	0.09010111988313688	0.09501845601114171
