	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	-0.1257647892270712	0.19539042038504234	0.5249100042298065	-0.5087300131817541|0.2572004347276118	61	46	1.4938144196878966	-1.3316637416867063	28.326293862562544	26.79458762938629
GuptaA_2019_in_IND-CRC	-0.9914990211721536	0.2783622603494623	0.0003935545591601229	-1.5370890514570998|-0.4459089908872075	30	30	13.412077738798228	5.919651729469689	9.736759629785652	9.721321097561122
HeQ_2017_in_CHN-CD	-0.591800402193889	0.21661742264857728	0.006490400539704106	-1.0163705505851004|-0.16723025380267753	44	47	-0.4032719342019054	-15.889055062992325	23.186190054709968	9.967163096950578
JieZ_2017_in_CHN-ACVD	-0.3782268634753275	0.1159209954287053	0.0011174056944548729	-0.6054320145155899|-0.15102171243506513	156	149	-6.0439699005882925	-14.762351001556539	20.8719346757287	20.712944754184985
KarlssonFH_2013_in_SWE-IGT	-0.738191125195016	0.21790687766485922	0.0007469128271725483	-1.16528860541814|-0.3110936449718919	43	49	24.792167468114986	3.9520861246208367	23.29760445518623	28.012988876306707
KarlssonFH_2013_in_SWE-T2D	-0.494314188105672	0.2094343111404542	0.019216740748284403	-0.9048054379409622|-0.08382293827038179	43	53	24.792167468114986	8.222497593556257	23.29760445518623	30.66899153698465
MetaCardis_2020_a_in_FRA-IGT	-0.09421572166170798	0.11100261803741229	0.3977558485824232	-0.31178085301503605|0.1233494096916201	176	151	23.97713371557543	12.093995322409215	28.89730398159418	26.917241844705856
MetaCardis_2020_a_in_FRA-T2D	-0.5420360794042801	0.09453766805362405	2.6562703747072368e-08	-0.7273299087893832|-0.356742250019177	176	290	23.97713371557543	4.768310286432495	28.89730398159418	28.155213802411442
MetaCardis_2020_a_in_FRA-CAD	-0.22849220185179878	0.11823647869640609	0.059238400464837616	-0.46023570009675474|0.0032512963931571603	176	114	23.97713371557543	20.320245524538098	28.89730398159418	28.533086386856084
MetaCardis_2020_a_in_FRA-HF	-0.4057442325370063	0.14506539632108906	0.08876403367521485	-0.6900724093263408|-0.12141605574767178	176	20	23.97713371557543	17.816759321882863	28.89730398159418	26.42071112573584
MetaCardis_2020_a_in_DEU-T2D	-0.3197719600908847	0.09148862514977267	0.0005263464941751992	-0.4990896653844391|-0.14045425479733029	273	213	9.112552752805184	7.020871829070019	27.62747559892009	24.990832114250313
MetaCardis_2020_a_in_DEU-IGT	-0.09283288160785022	0.10789174772124183	0.4828452749725288	-0.30430070714148416|0.11863494392578375	273	73	9.112552752805184	4.533698374915314	27.62747559892009	22.644117884074337
NielsenHB_2014_in_ESP-UC	-0.3063300158418351	0.17994294649246445	0.0901551649976906	-0.6590181909670654|0.046358159283395206	59	68	12.310583538213127	4.192362321122211	29.993610568517866	25.343273042076536
NielsenHB_2014_in_ESP-CD	-0.9919916872624759	0.25337245698075817	0.0021493460990462043	-1.488601702944762|-0.49538167158018986	59	13	12.310583538213127	-22.017199761315627	29.993610568517866	9.666196910831275
QinJ_2012_in_CHN-T2D	-0.19712735374046023	0.10872927705688516	0.07005916700485329	-0.41023673677195516|0.015982029291034677	173	169	4.080407913253399	-3.5357976622179854	21.59771779802449	21.63327336453141
QinN_2014_in_CHN-cirrhosis	-0.8749166846038624	0.13656730331514957	1.550548207387056e-10	-1.1425885991015556|-0.6072447701061692	114	123	15.517462166602677	-2.818736148430584	22.35275637370829	13.715432293005138
ThomasAM_2018a_in_ITA-CRC	-0.0664867574928722	0.28887772719177196	0.8201748892538991	-0.6326871027887453|0.49971358780300085	22	28	2.7284069508320075	-1.9044231366373043	20.08152940132022	20.11899523560312
ThomasAM_2018b_in_ITA-CRC	0.1927641817264042	0.2679651663181146	0.4749691391890821	-0.33244754425710044|0.7179759077099088	27	31	1.3447649990776083	6.924399317728329	28.12883797647792	32.52515712160141
VogtmannE_2016_in_USA-CRC	-0.6313637897420873	0.2059753499617478	0.002248282243096055	-1.035075475667113|-0.22765210381706164	52	49	3.9131201322019153	-15.476283245631542	33.8145189379775	32.375978229652645
WirbelJ_2018_in_DEU-CRC	-0.72376459480588	0.1861566028029935	0.0001058181202522016	-1.0886315362997472|-0.3588976533120127	65	60	22.09568829014339	3.5193853892643516	28.834126629544045	26.224834630625935
XuQ_2021_in_CHN-T2D	-0.9262699709951844	0.13418125430807717	2.7148122574368053e-06	-1.1892652294390156|-0.6632747125513532	217	31	5.1193511698909635	-11.778829123182877	21.37237496814351	18.82666384543329
YachidaS_2019_in_JPN-CRC	-0.14900520356021546	0.08903448443828718	0.09442101154574614	-0.32351279305925834|0.02550238593882742	250	258	-12.984096945421255	-15.667585708651254	20.09862641652614	19.88281670037419
YuJ_2015_in_CHN-CRC	-0.7405022069048587	0.18492624649009767	7.685791242947521e-05	-1.10295765002545|-0.37804676378426727	54	73	4.758752453085008	-10.987414613811533	23.885652189587255	20.961522681872328
ZellerG_2014_in_FRA-CRC	-0.15735892802815873	0.19276407365783785	0.41663465024554835	-0.535176512397521|0.22045865634120346	59	51	11.334548169779895	4.02320143418718	33.10149345739729	27.4082393719442
HanniganGD_2017_in_USA-CRC	-0.42437396687070555	0.29512621811444806	0.15293847689835366	-1.0028213543750237|0.15407342063361268	25	24	-0.6265233973572628	-7.244267296208458	15.882179359060606	12.918112398375833
SankaranarayananK_2015_in_USA-T2D	-0.05792774428568733	0.3384012740470475	0.8650743300604335	-0.7211942414179005|0.6053387528465257	18	19	-22.101590844244697	-28.106949369487378	26.147664171081107	24.563065897589656
