	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.007362983821693078	0.03492500268366675	0.833446220614916	-0.06109002143829376|0.07581598908167991	61	46	-0.07766514832831936	-0.07305592266760054	0.18110781586701089	0.16505569637561746
GuptaA_2019_in_IND-CRC	-0.07879993584969022	0.04423101015578548	0.08034349341387222	-0.16549271575502977|0.007892844055649328	30	30	-0.03346483038107549	-0.08275302959050732	0.0641456127153015	0.17010129248478556
HeQ_2017_in_CHN-CD	-0.21810523742505522	0.03862281649916111	2.0651405364507483e-07	-0.293805957763411|-0.14240451708669943	44	47	-0.0315128898523849	-0.2849348335935354	0.13251091437133128	0.15205087577239704
JieZ_2017_in_CHN-ACVD	-0.06366939540578576	0.018566557512545857	0.0006900033020555597	-0.10005984813037563|-0.027278942681195878	156	149	-0.053265303109129046	-0.11870673629536435	0.14459196188933018	0.15783220649762097
KarlssonFH_2013_in_SWE-IGT	-0.056614770802716236	0.02161972847666633	0.010393648069381393	-0.09898943861698224|-0.014240102988450229	43	49	0.061103289354271555	-0.0019910320707111034	0.08886624863126653	0.11246600170136326
KarlssonFH_2013_in_SWE-T2D	-0.03327531272932774	0.022109877434538346	0.1357502741705259	-0.0766106725010229|0.010060047042367418	43	53	0.061103289354271555	0.02246150619354252	0.08886624863126653	0.11079522582747611
MetaCardis_2020_a_in_FRA-IGT	-0.006221297183339174	0.013383814929673967	0.6423621003725375	-0.03245357444550015|0.0200109800788218	176	151	0.03521443259479551	-0.006399513906138839	0.1191401913352626	0.11537251492146193
MetaCardis_2020_a_in_FRA-T2D	-0.06803998048697657	0.012564995763767791	9.880745251886311e-08	-0.09266737218396144|-0.0434125887899917	176	290	0.03521443259479551	-0.04220515371914004	0.1191401913352626	0.1267353875528944
MetaCardis_2020_a_in_FRA-CAD	-0.003475141658315246	0.015603073914409016	0.82391171974744	-0.03405716653055692|0.027106883213926423	176	114	0.03521443259479551	0.02638154638857245	0.1191401913352626	0.11284550313947199
MetaCardis_2020_a_in_FRA-HF	-0.018135413956697672	0.02483875699763826	0.46620792844639825	-0.06681937767206866|0.030548549758673316	176	20	0.03521443259479551	0.029864270311725775	0.1191401913352626	0.09663891014746773
MetaCardis_2020_a_in_DEU-T2D	-0.050517680955462184	0.013819527515443939	0.0002849262672716157	-0.0776039548857323|-0.023431407025192065	273	213	-0.015196013269045574	-0.01765399767524571	0.13318891816831382	0.1126759590543104
MetaCardis_2020_a_in_DEU-IGT	-0.007461611059912837	0.016824482892919934	0.657687398214386	-0.04043759753003591|0.025514375410210233	273	73	-0.015196013269045574	-0.02620461718136999	0.13318891816831382	0.1283819601949011
NielsenHB_2014_in_ESP-UC	0.004394768016386115	0.020675832468950082	0.8320281927801367	-0.036129863622756046|0.044919399655528276	59	68	0.008564586055769544	0.020192751658432824	0.11323484043293756	0.12287897396539132
NielsenHB_2014_in_ESP-CD	-0.23471489358383438	0.042890118999725335	7.140305551508358e-07	-0.318779526823296|-0.15065026034437273	59	13	0.008564586055769544	-0.23669076284302917	0.11323484043293756	0.19536027091996452
QinJ_2012_in_CHN-T2D	-0.046356813827220185	0.018038971145150642	0.010604646583568755	-0.08171319727171544|-0.011000430382724927	173	169	-0.030788351447068464	-0.07858543079022479	0.1333479506447105	0.1627653374621907
QinN_2014_in_CHN-cirrhosis	-0.10164792037693444	0.019640454275251643	4.921289348334828e-07	-0.14014321075642766|-0.06315262999744123	114	123	0.03568250292095997	-0.07112900302053149	0.12101360134262457	0.15341986222862683
ThomasAM_2018a_in_ITA-CRC	-0.061492498600990125	0.044767268318206085	0.17636944226953277	-0.14923634450467405|0.026251347302693795	22	28	-0.025557566343509974	-0.11676784087185242	0.13863509374308797	0.16050920934395752
ThomasAM_2018b_in_ITA-CRC	0.021774502108712738	0.02739040612851172	0.4301777180738261	-0.03191069390317024|0.0754596981205957	27	31	-0.014805870416447544	0.0028374409270735673	0.09570233003702944	0.10578749620098979
VogtmannE_2016_in_USA-CRC	-0.09606378680543057	0.031162782760707212	0.0026783429590172326	-0.1571428410164167|-0.034984732594444436	52	49	-0.007221349949607123	-0.09840419209016177	0.1673285399046345	0.15071240409781322
WirbelJ_2018_in_DEU-CRC	-0.054605876668250765	0.024304875015539757	0.02648739230697166	-0.1022434316987087|-0.006968321637792839	65	60	0.06094673842493092	0.0034724640234389454	0.11366201593121293	0.14034640844622048
