	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.041558770713254624	0.195218622945038	0.833446220614916	-0.3410697302590198|0.4241872716855291	61	46	-0.07766514832831936	-0.07305592266760054	0.18110781586701089	0.16505569637561746
GuptaA_2019_in_IND-CRC	-0.46785901789513606	0.2662591819729982	0.08034349341387222	-0.9897270145622125|0.05400897877194033	30	30	-0.03346483038107549	-0.08275302959050732	0.0641456127153015	0.17010129248478556
HeQ_2017_in_CHN-CD	-1.1978247311405872	0.23025560328447756	2.0651405364507483e-07	-1.6491257135781632|-0.7465237487030112	44	47	-0.0315128898523849	-0.2849348335935354	0.13251091437133128	0.15205087577239704
JieZ_2017_in_CHN-ACVD	-0.39411451538899656	0.11600830265906778	0.0006900033020555597	-0.6214907886007695|-0.16673824217722372	156	149	-0.053265303109129046	-0.11870673629536435	0.14459196188933018	0.15783220649762097
KarlssonFH_2013_in_SWE-IGT	-0.5532403188765972	0.21483978127614795	0.010393648069381393	-0.9743262901778471|-0.13215434757534722	43	49	0.061103289354271555	-0.0019910320707111034	0.08886624863126653	0.11246600170136326
KarlssonFH_2013_in_SWE-T2D	-0.31215547339048416	0.2075599757267411	0.1357502741705259	-0.7189730258148967|0.09466207903392837	43	53	0.061103289354271555	0.02246150619354252	0.08886624863126653	0.11079522582747611
MetaCardis_2020_a_in_FRA-IGT	-0.05172044936641619	0.11095963280441917	0.6423621003725375	-0.26920132966307775|0.1657604309302454	176	151	0.03521443259479551	-0.006399513906138839	0.1191401913352626	0.11537251492146193
MetaCardis_2020_a_in_FRA-T2D	-0.5185294501875182	0.09439547585721973	9.880745251886311e-08	-0.7035445828676689|-0.3335143175073675	176	290	0.03521443259479551	-0.04220515371914004	0.1191401913352626	0.1267353875528944
MetaCardis_2020_a_in_FRA-CAD	-0.02686923744236179	0.11785786381011361	0.82391171974744	-0.2578706505101845|0.20413217562546088	176	114	0.03521443259479551	0.02638154638857245	0.1191401913352626	0.11284550313947199
MetaCardis_2020_a_in_FRA-HF	-0.17317352176484505	0.14386431914462702	0.46620792844639825	-0.45514758728831406|0.10880054375862394	176	20	0.03521443259479551	0.029864270311725775	0.1191401913352626	0.09663891014746773
MetaCardis_2020_a_in_DEU-T2D	-0.33488267035094593	0.0915444587802602	0.0002849262672716157	-0.514309809560256|-0.15545553114163593	273	213	-0.015196013269045574	-0.01765399767524571	0.13318891816831382	0.1126759590543104
MetaCardis_2020_a_in_DEU-IGT	-0.058606394819933336	0.10785682791766726	0.657687398214386	-0.27000577753856114|0.1527929878986945	273	73	-0.015196013269045574	-0.02620461718136999	0.13318891816831382	0.1283819601949011
NielsenHB_2014_in_ESP-UC	0.038118974016206474	0.17891304304326788	0.8320281927801367	-0.3125505903485986|0.3887885383810115	59	68	0.008564586055769544	0.020192751658432824	0.11323484043293756	0.12287897396539132
NielsenHB_2014_in_ESP-CD	-1.7004708495830734	0.27897754406329334	7.140305551508358e-07	-2.247266835947128|-1.1536748632190186	59	13	0.008564586055769544	-0.23669076284302917	0.11323484043293756	0.19536027091996452
QinJ_2012_in_CHN-T2D	-0.27875460999385404	0.1089916583278102	0.010604646583568755	-0.492378260316362|-0.06513095967134605	173	169	-0.030788351447068464	-0.07858543079022479	0.1333479506447105	0.1627653374621907
QinN_2014_in_CHN-cirrhosis	-0.6757038643681834	0.134139342322373	4.921289348334828e-07	-0.9386169753200345|-0.4127907534163323	114	123	0.03568250292095997	-0.07112900302053149	0.12101360134262457	0.15341986222862683
ThomasAM_2018a_in_ITA-CRC	-0.3994115089250785	0.2916632232046642	0.17636944226953277	-0.9710714264062204|0.17224840855606338	22	28	-0.025557566343509974	-0.11676784087185242	0.13863509374308797	0.16050920934395752
ThomasAM_2018b_in_ITA-CRC	0.21297126602893499	0.26810180753798984	0.4301777180738261	-0.31250827674552506|0.7384508088033951	27	31	-0.014805870416447544	0.0028374409270735673	0.09570233003702944	0.10578749620098979
VogtmannE_2016_in_USA-CRC	-0.6199084194496253	0.20579950753831605	0.0026783429590172326	-1.0232754542247247|-0.21654138467452583	52	49	-0.007221349949607123	-0.09840419209016177	0.1673285399046345	0.15071240409781322
WirbelJ_2018_in_DEU-CRC	-0.4054815943999505	0.18218955181405083	0.02648739230697166	-0.7625731159554902|-0.04839007284441088	65	60	0.06094673842493092	0.0034724640234389454	0.11366201593121293	0.14034640844622048
XuQ_2021_in_CHN-T2D	-0.9750337481901525	0.13488165118481538	8.367969503169374e-07	-1.2394017845123906|-0.7106657118679144	217	31	-0.040754957891900825	-0.1836108157062864	0.15268334676680967	0.17763991994767478
YachidaS_2019_in_JPN-CRC	-0.10340417989795643	0.08897058889298805	0.2454354499585977	-0.277786534128213|0.07097817433230015	250	258	-0.0786323986275029	-0.09508065835569345	0.15052062498484844	0.155100605784501
YuJ_2015_in_CHN-CRC	-0.4083668670168086	0.18075177099122147	0.02577769940278395	-0.7626403381596026|-0.054093395874014516	54	73	-0.027790468930050823	-0.09487495813990643	0.16293007540194643	0.16069967895634943
ZellerG_2014_in_FRA-CRC	-0.2204297694689214	0.1930500430228897	0.25590532909407426	-0.5988078537937852|0.1579483148559424	59	51	0.00595805361330538	-0.03469200032719666	0.10957695597631509	0.1235275806624185
HanniganGD_2017_in_USA-CRC	-0.2629340271403707	0.2931177625855485	0.3724386938984314	-0.8374448418080458|0.3115767875273044	25	24	-0.14226071313491265	-0.21971435361841676	0.16324160823198763	0.18477845068043464
SankaranarayananK_2015_in_USA-T2D	0.009485957857094248	0.3383322274123939	0.9777968034014042	-0.6536452078711977|0.6726171235853863	18	19	-0.14742520748742405	-0.18061046078913054	0.1973787097587181	0.15758335956356642
