	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.9337061519576408	0.20555849219525388	7.043691321361675e-06	0.5308115072549433|1.3366007966603384	61	46	101.55637147868065	130.03539708823465	32.44024052576587	28.240762511074955
GuptaA_2019_in_IND-CRC	0.1743278411819538	0.26318811829296807	0.5095783303071757	-0.34152087067226367|0.6901765530361712	30	30	27.86062779726755	34.05684080193183	9.485945648886368	12.91970871148951
HeQ_2017_in_CHN-CD	-1.809514568490223	0.25170384264443857	4.4359211306004766e-13	-2.3028541000733225|-1.3161750369071235	44	47	91.51981778528275	40.78495306341105	20.017587552115174	20.220469118617412
JieZ_2017_in_CHN-ACVD	0.1393164544010484	0.11503754015811471	0.22638425424699704	-0.08615712430885644|0.36479003311095326	156	149	87.48993366824286	92.26037013165076	25.63953512314145	26.444310397925175
KarlssonFH_2013_in_SWE-IGT	-0.07585699081866205	0.21092007132425028	0.7204138150115469	-0.4892603306141926|0.3375463489768685	43	49	118.09228835896573	115.78926306013855	17.80027816834689	20.209473290129683
KarlssonFH_2013_in_SWE-T2D	-0.2763245030686543	0.20728955555533754	0.18607025222221235	-0.6826120319571158|0.1299630258198073	43	53	118.09228835896573	112.44535497680678	17.80027816834689	22.049716541664697
MetaCardis_2020_a_in_FRA-IGT	-0.10102517694566443	0.11101183094620942	0.3645765639520754	-0.31860836560023487|0.11655801170890603	176	151	97.03984223312136	91.5424063123053	20.65296478565964	22.40634879512969
MetaCardis_2020_a_in_FRA-T2D	-0.5557627953646803	0.09462351274855826	1.2066860553508908e-08	-0.7412248803518545|-0.3703007103775061	176	290	97.03984223312136	82.47101727057685	20.65296478565964	23.516601483141677
MetaCardis_2020_a_in_FRA-CAD	-0.03754008020934705	0.11786292598895075	0.7558964274872968	-0.26855141514769054|0.19347125472899643	176	114	97.03984223312136	95.30478951843271	20.65296478565964	21.651891207113675
MetaCardis_2020_a_in_FRA-HF	-0.07611477120386073	0.1436474128054829	0.7486284313964245	-0.35766370030260725|0.20543415789488578	176	20	97.03984223312136	95.36662033905856	20.65296478565964	19.239314362128255
MetaCardis_2020_a_in_DEU-T2D	-0.15101081791277876	0.09103895623408172	0.09992126146291559	-0.3294471721315789|0.027425536306021403	273	213	84.8503170301908	88.80646549391568	21.996143734851746	21.50105960354531
MetaCardis_2020_a_in_DEU-IGT	0.2747868977044086	0.10834137967431642	0.038325734918911517	0.06243779354274842|0.4871360018660688	273	73	84.8503170301908	88.8769864289807	21.996143734851746	22.007758364737885
NielsenHB_2014_in_ESP-UC	-0.4278326469333245	0.18093181060320757	0.01858791929305847	-0.7824589957156114|-0.07320629815103769	59	68	110.90403026479174	96.32293648649771	33.16401206746969	39.23851251021175
NielsenHB_2014_in_ESP-CD	-1.8618046134278305	0.2862433091918335	9.171621157213483e-08	-2.422841499443824|-1.300767727411837	59	13	110.90403026479174	59.31629218835012	33.16401206746969	19.875553793941446
QinJ_2012_in_CHN-T2D	0.1883436291948209	0.10870637691256166	0.08342050139276225	-0.024720869553799957|0.4014081279434417	173	169	72.85574980059873	78.0134609612865	20.889636537217356	26.40823615595061
QinN_2014_in_CHN-cirrhosis	-0.42895511388620305	0.1319598394103679	0.001175583717516339	-0.6875963991305241|-0.170313828641882	114	123	82.96933909213725	70.0475794563291	22.898979349678804	21.336326223386575
ThomasAM_2018a_in_ITA-CRC	0.048131568743516914	0.2888397611234769	0.8692699764346802	-0.5179943630584979|0.6142575005455316	22	28	83.61306925185671	77.07721156831865	26.68953121558217	37.37016920126613
ThomasAM_2018b_in_ITA-CRC	0.8248678706007891	0.2784820022620397	0.0032868737519790906	0.2790431461671914|1.370692595034387	27	31	107.25354342638714	123.92489711532939	20.15259252597975	17.722128936731128
VogtmannE_2016_in_USA-CRC	-0.0975432099935111	0.20114737911278738	0.6287407973805906	-0.4917920730545744|0.29670565306755214	52	49	127.77420916466826	125.16671305138718	26.293620928263984	28.12107660909571
WirbelJ_2018_in_DEU-CRC	0.5782873251318286	0.18407657107494274	0.0017351722338902033	0.2174972458249408|0.9390774044387163	65	60	107.13677123954368	124.64864063870115	22.162391304316834	29.615027961359125
XuQ_2021_in_CHN-T2D	-0.6674582470726075	0.1310199087071489	0.0006329351967323103	-0.9242572681386194|-0.4106592260065956	217	31	87.49562395422502	70.61522101320435	24.28027566298663	23.163280936237378
YachidaS_2019_in_JPN-CRC	0.14698162269714146	0.08903116063217942	0.09896910414099955	-0.02751945214193019|0.3214826975362131	250	258	79.79604847271062	83.79115719541089	27.134552551383898	27.380864852596076
YuJ_2015_in_CHN-CRC	0.21082818073380888	0.1793930898200607	0.24617035108073862	-0.14078227531351006|0.5624386367811278	54	73	96.139142291976	100.02795388224823	27.342610596085027	31.212992948487752
ZellerG_2014_in_FRA-CRC	-0.12855129658321468	0.19266512437133765	0.5067422814339311	-0.5061749403510365|0.24907234718460708	59	51	116.45136998290663	113.7727130083966	28.253617310208462	31.370335437523632
HanniganGD_2017_in_USA-CRC	0.1388628485924851	0.29221091355788575	0.6365010189964908	-0.43387054198097097|0.7115962391659412	25	24	46.51326169867863	44.14296698143756	15.547351614685638	16.055346190168077
SankaranarayananK_2015_in_USA-T2D	0.17173434495741285	0.33895339280125375	0.6150681363500945	-0.49261430493304453|0.8360829948478703	18	19	100.6063509776779	103.86926415842788	23.064578294317567	21.138453732032943
