	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.6163184517951897	0.19977790665653922	0.002304954480473533	0.2247537547483729|1.0078831488420066	61	46	3.8849030148819477	4.314063243696553	0.7391401390150957	0.7428691895343629
GuptaA_2019_in_IND-CRC	0.5371170424029417	0.2673842287371487	0.045622876621681775	0.013043954078130304|1.061190130727753	30	30	1.5336391323796927	2.0901984472141977	0.6104112143017738	0.7521462477214956
HeQ_2017_in_CHN-CD	-1.0686347505780809	0.22665450917205857	2.5684710769501577e-06	-1.5128775885553156|-0.6243919126008461	44	47	3.7424637566687236	2.671487506629658	0.6016584684811053	0.8689181309188972
JieZ_2017_in_CHN-ACVD	0.24454398375003863	0.11532689057406534	0.03416759411703618	0.01850327822487058|0.4705846892752067	156	149	3.6512635650459275	3.845214364887977	0.7032551482080027	0.763897065727139
KarlssonFH_2013_in_SWE-IGT	0.24961058794495114	0.2116637105236601	0.24059266921902656	-0.16525028468142264|0.6644714605713249	43	49	4.436065120013174	4.557371509184581	0.43739639864059165	0.4993177720210171
KarlssonFH_2013_in_SWE-T2D	-0.19289263530590636	0.20678655891851078	0.3548076426599869	-0.5981942907861875|0.21240902017437477	43	53	4.436065120013174	4.367005687182858	0.43739639864059165	0.5435825811216544
MetaCardis_2020_a_in_FRA-IGT	0.058584274992449774	0.11096488148228477	0.5988853068163247	-0.15890689271282837|0.27607544269772794	176	151	3.638698838849409	3.6770382618634696	0.6999079699172025	0.6728170775114631
MetaCardis_2020_a_in_FRA-T2D	-0.06721838350938797	0.09287431550614651	0.4830542166752604	-0.24925204190143513|0.11481527488265919	176	290	3.638698838849409	3.579422336033573	0.6999079699172025	0.7119745520754248
MetaCardis_2020_a_in_FRA-CAD	0.03324160811568527	0.11786068510226633	0.7830989377080365	-0.1977653346847567|0.26424855091612726	176	114	3.638698838849409	3.5764864104010896	0.6999079699172025	0.7353520046414572
MetaCardis_2020_a_in_FRA-HF	-0.21318141879722807	0.14400271767930478	0.3698882285564067	-0.49542674544866544|0.0690639078542093	176	20	3.638698838849409	3.410986379015081	0.6999079699172025	0.5670785120994357
MetaCardis_2020_a_in_DEU-T2D	-0.00821104381973691	0.09090986126329177	0.9286181405880214	-0.18639437189578878|0.16997228425631494	273	213	3.4012619808879765	3.4475492340618628	0.7504837098234827	0.7104101595363561
MetaCardis_2020_a_in_DEU-IGT	0.2587390381843839	0.10828393069290944	0.05104768844993234	0.04650253402628138|0.4709755423424864	273	73	3.4012619808879765	3.5359973232007045	0.7504837098234827	0.7335486085676444
NielsenHB_2014_in_ESP-UC	-0.27641788605329587	0.17974907569666382	0.12582438775825425	-0.6287260744187569|0.0758903023121652	59	68	4.0176157257562135	3.7724511054154677	0.8437433568110784	0.9513827960424759
NielsenHB_2014_in_ESP-CD	-0.9348174356872966	0.2518142180115632	0.0036969796452678513	-1.4283733029899603|-0.44126156838463276	59	13	4.0176157257562135	3.40694683234715	0.8437433568110784	0.5358592889220132
QinJ_2012_in_CHN-T2D	0.26573782015551384	0.10894383207465458	0.01480128903249185	0.05220790928919086|0.47926773102183684	173	169	3.223956125191795	3.4328665265923495	0.6156783590938102	0.7735064768399654
QinN_2014_in_CHN-cirrhosis	-0.571717821864846	0.1331065927212965	1.8050316569050354e-05	-0.8326067435985871|-0.31082890013110487	114	123	3.405123742645452	2.986628955747058	0.5758128882287776	0.5835435283317678
ThomasAM_2018a_in_ITA-CRC	-0.0047796141116383225	0.2887983612962739	0.9869580861578278	-0.5708244022523351|0.5612651740290585	22	28	3.4457168588580274	3.3006792846079693	0.6678626468328446	1.1708364647189917
ThomasAM_2018b_in_ITA-CRC	0.1711476338797244	0.26783399628095383	0.5256711633846811	-0.35380699883094513|0.696102266590394	27	31	4.3734305644377525	4.492583801901713	0.4531089187846161	0.5636333555893044
VogtmannE_2016_in_USA-CRC	0.3896473645444264	0.20292647116882662	0.055608921657471874	-0.008088518946473777|0.7873832480353266	52	49	4.2386857244356095	4.473560631271222	0.5857919318825372	0.7006546666118187
WirbelJ_2018_in_DEU-CRC	0.1888144776019719	0.1807471481272475	0.2975765501975133	-0.1654499327274332|0.543078887931377	65	60	3.9907775283843825	4.142046726260847	0.6282882364526359	0.7463151735665007
XuQ_2021_in_CHN-T2D	-0.04317347318648723	0.12753229577646988	0.8229873837608341	-0.29313677290836815|0.2067898265353937	217	31	3.4828063978368213	3.4334316421086783	0.6464958925933231	0.8251131470701082
YachidaS_2019_in_JPN-CRC	0.2723151807505767	0.08932231962301238	0.002313185088855069	0.09724343428947246|0.44738692721168094	250	258	3.572459834844853	3.7578203379307267	0.7093577194302081	0.7765582762912088
YuJ_2015_in_CHN-CRC	0.2880194273754906	0.17982193111973832	0.11398213578397162	-0.0644315576191965|0.6404704123701777	54	73	3.792408509256125	3.937713483592928	0.5450666839371264	0.7255501941831838
ZellerG_2014_in_FRA-CRC	0.05000756237630268	0.19249651956338312	0.7960201164219627	-0.32728561596792827|0.4273007407205336	59	51	4.101825780847133	4.15347375100552	0.7079508251279983	0.6175589711831634
HanniganGD_2017_in_USA-CRC	0.21000168996839091	0.2926627267376894	0.4755156328091439	-0.36361725443748033|0.7836206343742622	25	24	3.268526135312961	3.317187665931447	0.646105075582526	0.61623864334794
SankaranarayananK_2015_in_USA-T2D	-0.22234686950260296	0.3393741157170911	0.5155800400897799	-0.8875201363081014|0.4428263973028955	18	19	4.397842846841052	4.389305562879569	0.5167678768457874	0.5456190038678045
