	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.5544722798273409	0.1989129096189096	0.005892720297356663	0.16460297697427817|0.9443415826804037	61	46	103.05018589836854	128.70373334654798	48.025661573279905	38.87533374506632
GuptaA_2019_in_IND-CRC	-0.428862409923429	0.2656921489000859	0.10816903060355272	-0.9496190217675973|0.09189420192073933	30	30	41.27270553606579	39.97649253140151	17.68738317657335	17.77871236045091
HeQ_2017_in_CHN-CD	-1.7896320398337184	0.2509037679330138	6.878359641876171e-13	-2.2814034249824253|-1.2978606546850115	44	47	91.11654585108087	24.89589800041874	32.334301449772546	19.607820803428513
JieZ_2017_in_CHN-ACVD	-0.12134495791881017	0.11500393610628211	0.2918902540444763	-0.34675267268712306|0.10406275684950275	156	149	81.44596376765458	77.4980191300942	36.197573758293665	34.285043081398584
KarlssonFH_2013_in_SWE-IGT	-0.7131530974255296	0.21744304039598417	0.001097840172499304	-1.1393414566016586|-0.2869647382494006	43	49	142.88445582708079	119.7413491847594	26.09984298967837	31.97103574058665
KarlssonFH_2013_in_SWE-T2D	-0.5961601133975957	0.21084024671989435	0.005029656097017295	-1.0094069969685886|-0.18291322982660274	43	53	142.88445582708079	120.66785257036304	26.09984298967837	36.570208261283014
MetaCardis_2020_a_in_FRA-IGT	-0.12794088844025855	0.11105452712978682	0.25105141720660473	-0.3456077616146407|0.0897259847341236	176	151	121.01697594869682	103.63640163471456	38.55645002192964	38.661717102877006
MetaCardis_2020_a_in_FRA-T2D	-0.6847782361921193	0.09553050456491884	3.3974279150120017e-12	-0.8720180251393602|-0.4975384472448784	176	290	121.01697594869682	87.23932755700935	38.55645002192964	42.49656398518002
MetaCardis_2020_a_in_FRA-CAD	-0.19330682967500115	0.11812746666081812	0.11018854289365786	-0.42483666433020467|0.03822300498020237	176	114	121.01697594869682	115.62503504297081	38.55645002192964	38.15754835343044
MetaCardis_2020_a_in_FRA-HF	-0.34984691667561457	0.1446896991114868	0.14185704751138628	-0.6334387269341286|-0.06625510641710047	176	20	121.01697594869682	113.18337966094145	38.55645002192964	36.905277685854045
MetaCardis_2020_a_in_DEU-T2D	-0.31739137127444667	0.09148006095103499	0.0005785339670513505	-0.4966922907384752|-0.1380904518104181	273	213	93.96286978299601	95.82733732298573	39.674842318514884	36.68470233690383
MetaCardis_2020_a_in_DEU-IGT	0.09318835622083123	0.10789219314243835	0.48117201298564916	-0.11828034233834793|0.3046570547800104	273	73	93.96286978299601	93.41068480389602	39.674842318514884	35.731523996417934
NielsenHB_2014_in_ESP-UC	-0.5165358239719747	0.18185553765911971	0.004694866417451323	-0.8729726777838493|-0.1600989701601001	59	68	123.21461380300487	100.51529880761994	46.28239160135085	44.582415774815786
NielsenHB_2014_in_ESP-CD	-1.972663628937315	0.29150090653769306	2.1779686217826523e-08	-2.5440054057511934|-1.4013218521234365	59	13	123.21461380300487	37.299092427034495	46.28239160135085	17.7836982768047
QinJ_2012_in_CHN-T2D	0.007224117191536097	0.10846651823845117	0.9469408209832049	-0.2053702585558282|0.21981849293890038	173	169	76.93615771385214	74.47766329906852	35.320658319870184	39.2445864546705
QinN_2014_in_CHN-cirrhosis	-0.7471072681970103	0.13494268212878183	3.227303282206621e-08	-1.0115949251694227|-0.48261961122459796	114	123	98.48680125873994	67.22884330789854	39.81861672824634	28.582199384143887
ThomasAM_2018a_in_ITA-CRC	0.0004928487975147731	0.2887979533367748	0.9986551248406879	-0.5655511397425639|0.5665368373375934	22	28	86.34147620268874	75.17278843168135	39.77444339569322	49.89368456971706
ThomasAM_2018b_in_ITA-CRC	0.6645819576902058	0.2746257479514555	0.016320845881837798	0.12631549170535306|1.2028484236750585	27	31	108.59830842546472	130.8492964330577	33.68860709413263	32.41348326154036
VogtmannE_2016_in_USA-CRC	-0.4954786172891152	0.2040890718863721	0.015523167707516692	-0.8954931981864045|-0.09546403639182588	52	49	131.6873292968702	109.69042980575567	48.27445403141826	45.34562162828711
WirbelJ_2018_in_DEU-CRC	-0.11924726356387123	0.18050596183093337	0.5100526670614787	-0.47303894875250063|0.2345444216247582	65	60	129.23245952968708	128.16802602796554	34.71801547201513	39.36787127841942
XuQ_2021_in_CHN-T2D	-0.9729492280952353	0.13485105221321195	8.807839159044107e-07	-1.2372572904331307|-0.7086411657573399	217	31	92.614975124116	58.836391890021474	36.6882327013465	29.939209550097033
YachidaS_2019_in_JPN-CRC	0.030236675386983037	0.08891627180336956	0.7339710458189668	-0.1440392173476213|0.20451256812158738	250	258	66.81195152728938	68.12357148675964	36.078201420687904	34.37890406347275
YuJ_2015_in_CHN-CRC	-0.2530588513502735	0.1796113906991462	0.16443365558822	-0.6050971771206|0.098979474420053	54	73	100.89789474506104	89.04053926843672	40.85038875325278	39.586143153689086
ZellerG_2014_in_FRA-CRC	-0.19499105802865915	0.19292326436685664	0.3145691519839097	-0.5731206561876981|0.18313854013037986	59	51	127.78591815268659	117.79591444258378	42.60918259555278	46.091587236471455
HanniganGD_2017_in_USA-CRC	-0.1827959852170648	0.29246826546774657	0.534248447213757	-0.7560337855338481|0.3904418150997185	25	24	45.886738301321365	36.898699685229104	24.874116433875948	20.881043347819148
SankaranarayananK_2015_in_USA-T2D	0.06969943886728737	0.3384330348642838	0.8380197061453769	-0.5936293094667089|0.7330281872012836	18	19	78.5047601334332	75.76231478894053	36.47651152089897	30.84266541541696
