	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	0.219051997506226	0.19578207291958608	0.2690841045443582	-0.16468086541616267|0.6027848604286147	61	46	3.9903818032710623	4.278083760236729	1.4808009106289415	1.2245638230824534
GuptaA_2019_in_IND-CRC	-0.10471868892470966	0.26286962120443513	0.6916163153942687	-0.6199431464854026|0.41050576863598326	30	30	1.7827664679943873	1.9692922322083144	0.7040586978818352	0.648289598696586
HeQ_2017_in_CHN-CD	-1.9707782103841158	0.25841929583864354	1.2568281252289824e-14	-2.477280030227857|-1.4642763905403746	44	47	3.824525380671929	1.464004481394604	1.0042057834526605	0.7426202937766339
JieZ_2017_in_CHN-ACVD	-0.2943172862926643	0.11551862001280404	0.010929336683296324	-0.5207337815177602|-0.06790079106756838	156	149	3.5203907170968396	3.158388492581564	1.1607034118345463	1.0743307904885575
KarlssonFH_2013_in_SWE-IGT	-0.7817493157724466	0.21874941710253454	0.0003746429228251676	-1.2104981732934141|-0.35300045825147885	43	49	5.598236134806291	4.8966321980223215	0.7286836774664983	0.8935794065883075
KarlssonFH_2013_in_SWE-T2D	-0.6756230076415897	0.21211148235717814	0.0015755642411389534	-1.0913615130616587|-0.25988450222152054	43	53	5.598236134806291	4.910842315456572	0.7286836774664983	1.0342807750035257
MetaCardis_2020_a_in_FRA-IGT	-0.04668870131577807	0.11095619990622754	0.675046885129639	-0.26416285313198407|0.1707854505004279	176	151	4.505800272386161	4.074196757754529	1.1163973284405733	1.1342736236123765
MetaCardis_2020_a_in_FRA-T2D	-0.6039794057065714	0.09494138766505628	6.657876583110155e-10	-0.7900645255300817|-0.4178942858830611	176	290	4.505800272386161	3.6184497534624223	1.1163973284405733	1.2529893105179764
MetaCardis_2020_a_in_FRA-CAD	-0.15632286654951455	0.11803240539173648	0.19610153716344314	-0.38766638111731805|0.07502064801828895	176	114	4.505800272386161	4.290613361041927	1.1163973284405733	1.1057508753327874
MetaCardis_2020_a_in_FRA-HF	-0.49853805531316037	0.1458089441581775	0.03687202821839418	-0.7843235858631883|-0.2127525247631325	176	20	4.505800272386161	4.093360903369309	1.1163973284405733	0.9380825343063536
MetaCardis_2020_a_in_DEU-T2D	-0.37978973985189285	0.09172536733617837	4.003720576141209e-05	-0.5595714598308025|-0.20000801987298325	273	213	3.715255785063061	3.650776331351875	1.2089328153849235	1.0856913699103186
MetaCardis_2020_a_in_DEU-IGT	0.1555798297404487	0.10799669131128115	0.23988385674288695	-0.05609368522966235|0.36725334471055976	273	73	3.715255785063061	3.725003291021395	1.2089328153849235	1.077716293187858
NielsenHB_2014_in_ESP-UC	-0.3456714750857956	0.1802278551814227	0.056241417207289875	-0.698918071241384|0.007575121069792912	59	68	4.521704422483454	4.143296766985443	1.1478471842314815	1.2445163101362435
NielsenHB_2014_in_ESP-CD	-2.0687781281498157	0.29622369105090723	6.176564439658991e-09	-2.6493765626095938|-1.4881796936900376	59	13	4.521704422483454	2.133853880764401	1.1478471842314815	0.7958180393710873
QinJ_2012_in_CHN-T2D	-0.08853603036580268	0.108519290564137	0.41495885555345824	-0.3012338398715112|0.12416177913990584	173	169	3.362421512506286	3.1788343201143765	1.1036724144124477	1.2221069811662708
QinN_2014_in_CHN-cirrhosis	-1.0162487105902571	0.1386338142504691	2.3163706038927326e-13	-1.2879709865211766|-0.7445264346593377	114	123	3.983311694524418	2.7980567937558867	1.099481507118598	0.9072625720596487
ThomasAM_2018a_in_ITA-CRC	-0.1861913847613718	0.289423011611477	0.5252084858708387	-0.7534604875198666|0.3810777179971231	22	28	3.556968525645691	3.0042645173322513	1.231608380406247	1.6464394402193405
ThomasAM_2018b_in_ITA-CRC	0.2993107325015777	0.26883775570427354	0.268925914613053	-0.22761126867879844|0.8262327336819538	27	31	4.616827513079194	4.89149490900405	1.089134751945624	0.8488853986183232
VogtmannE_2016_in_USA-CRC	-0.53397698259036	0.2045789655160669	0.009276853355194167	-0.9349517550018511|-0.13300221017886882	52	49	4.600406008072517	3.9520609367881696	1.2573238793916375	1.338506426086662
WirbelJ_2018_in_DEU-CRC	-0.5014099078420814	0.18315764732221698	0.006345309795641779	-0.8603988965936267|-0.1424209190905361	65	60	4.9928354864307005	4.476406679792091	1.003698268481764	1.1696040379138077
XuQ_2021_in_CHN-T2D	-0.9765128411447574	0.13490339850282435	8.068845490354857e-07	-1.2409235022102931|-0.7121021800792218	217	31	3.6178940834821556	2.6211244902444464	1.106385454404268	0.965463513894188
YachidaS_2019_in_JPN-CRC	0.0015001340776193862	0.0889112039764998	0.9865468170334918	-0.1727658257163202|0.175766093871559	250	258	3.1468376896352646	3.1355321092924524	1.1307866610085127	1.0959979383064886
YuJ_2015_in_CHN-CRC	-0.5064969353409557	0.18174254018339706	0.005951084941367437	-0.862712314100414|-0.1502815565814975	54	73	4.0686153208217535	3.4861299256130307	1.142498695412371	1.127676299607535
ZellerG_2014_in_FRA-CRC	-0.25160439298504805	0.193226442143895	0.1951147354231486	-0.6303282195870823|0.12711943361698613	59	51	4.58333411498075	4.190309357247856	1.1420579490926583	1.210207649379187
HanniganGD_2017_in_USA-CRC	-0.19306317316743007	0.2925385036215831	0.511646290218421	-0.7664386402657329|0.38031229393087285	25	24	2.8200112491171696	2.477378775978857	1.0064009418606221	1.0833186134775437
SankaranarayananK_2015_in_USA-T2D	-0.15191375853192685	0.3388179679970496	0.6563130629281884	-0.815996975806144|0.5121694587422905	18	19	3.448477367189925	3.116936386507451	1.2770046436809164	0.9464485381733673
